Sample Name,Sample title,BioProject accession,Organism,host,isolation source,collection date,geographic location,latitude and longitude,library,sample type,isolate
oro160061,oro160061,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160061
oro160062,oro160062,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160062
oro160063,oro160063,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160063
oro160064,oro160064,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160064
oro160065,oro160065,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160065
oro160066,oro160066,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160066
oro160067,oro160067,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160067
oro160068,oro160068,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160068
oro160069,oro160069,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160069
oro160070,oro160070,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160070
oro160071,oro160071,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160071
oro160072,oro160072,PRJNA518082,not collected,not collected,feces metagenome,2016-06-13,USA: Hopkinton NH,not applicable,libB,sample,oro160072
oro160073,oro160073,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160073
oro160074,oro160074,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160074
oro160075,oro160075,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160075
oro160076,oro160076,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160076
oro160077,oro160077,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160077
oro160078,oro160078,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160078
oro160079,oro160079,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160079
oro160080,oro160080,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160080
oro160081,oro160081,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160081
oro160082,oro160082,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160082
oro160083,oro160083,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160083
oro160084,oro160084,PRJNA518082,not collected,not collected,feces metagenome,2016-06-19,USA: Hopkinton NH,not applicable,libB,sample,oro160084
oro160085,oro160085,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160085
oro160086,oro160086,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160086
oro160087,oro160087,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160087
oro160088,oro160088,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160088
oro160090,oro160090,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160090
oro160091,oro160091,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160091
oro160092,oro160092,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160092
oro160093,oro160093,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160093
oro160094,oro160094,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160094
oro160095,oro160095,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160095
oro160096,oro160096,PRJNA518082,not collected,not collected,feces metagenome,2016-06-27,USA: Hopkinton NH,not applicable,libB,sample,oro160096
bri160138,bri160138,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Acadia National Park ME,not applicable,libD,sample,bri160138
bri160139,bri160139,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Acadia National Park ME,not applicable,libD,sample,bri160139
bri160141,bri160141,PRJNA518082,not collected,not collected,feces metagenome,2016-07-09,USA: Acadia National Park ME,not applicable,libC,sample,bri160141
bri160142,bri160142,PRJNA518082,not collected,not collected,feces metagenome,2016-06-15,USA: Acadia National Park ME,not applicable,libD,sample,bri160142
bri160143,bri160143,PRJNA518082,not collected,not collected,feces metagenome,2016-06-15,USA: Acadia National Park ME,not applicable,libD,sample,bri160143
bri160145,bri160145,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Acadia National Park ME,not applicable,libD,sample,bri160145
bri160148,bri160148,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Acadia National Park ME,not applicable,libD,sample,bri160148
bri160149,bri160149,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Acadia National Park ME,not applicable,libD,sample,bri160149
bri160151,bri160151,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Acadia National Park ME,not applicable,libD,sample,bri160151
bri160152,bri160152,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Acadia National Park ME,not applicable,libD,sample,bri160152
bri160153,bri160153,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Acadia National Park ME,not applicable,libD,sample,bri160153
bri160154,bri160154,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Acadia National Park ME,not applicable,libD,sample,bri160154
bri160155,bri160155,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Acadia National Park ME,not applicable,libD,sample,bri160155
bri160156,bri160156,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Acadia National Park ME,not applicable,libD,sample,bri160156
bri160157,bri160157,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Acadia National Park ME,not applicable,libD,sample,bri160157
bri160158,bri160158,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Acadia National Park ME,not applicable,libD,sample,bri160158
bri160159,bri160159,PRJNA518082,not collected,not collected,feces metagenome,2016-06-08,USA: Acadia National Park ME,not applicable,libD,sample,bri160159
bri160161,bri160161,PRJNA518082,not collected,not collected,feces metagenome,2016-05-27,USA: Yorktown Naval Weapons Station VA,not applicable,libD,sample,bri160161
bri160162,bri160162,PRJNA518082,not collected,not collected,feces metagenome,2016-05-27,USA: Yorktown Naval Weapons Station VA,not applicable,libD,sample,bri160162
bri160357,bri160357,PRJNA518082,not collected,not collected,feces metagenome,2016-07-16,USA: Ely Mine VT,not applicable,libC,sample,bri160357
oro160384,oro160384,PRJNA518082,not collected,not collected,feces metagenome,2016-04-22,USA: Brown Lane Hollis NH,not applicable,libB,sample,oro160384
oro160385,oro160385,PRJNA518082,not collected,not collected,feces metagenome,2016-04-22,USA: Brown Lane Hollis NH,not applicable,libB,sample,oro160385
oro160386,oro160386,PRJNA518082,not collected,not collected,feces metagenome,2016-04-22,USA: Brown Lane Hollis NH,not applicable,libB,sample,oro160386
oro160387,oro160387,PRJNA518082,not collected,not collected,feces metagenome,2016-04-22,USA: Brown Lane Hollis NH,not applicable,libB,sample,oro160387
oro160388,oro160388,PRJNA518082,not collected,not collected,feces metagenome,2016-04-22,USA: Brown Lane Hollis NH,not applicable,libB,sample,oro160388
oro160392,oro160392,PRJNA518082,not collected,not collected,feces metagenome,2016-04-22,USA: Brown Lane Hollis NH,not applicable,libB,sample,oro160392
oro160393,oro160393,PRJNA518082,not collected,not collected,feces metagenome,2016-04-22,USA: Brown Lane Hollis NH,not applicable,libB,sample,oro160393
oro160394,oro160394,PRJNA518082,not collected,not collected,feces metagenome,2016-04-22,USA: Brown Lane Hollis NH,not applicable,libB,sample,oro160394
oro160395,oro160395,PRJNA518082,not collected,not collected,feces metagenome,2016-04-22,USA: Brown Lane Hollis NH,not applicable,libB,sample,oro160395
oro160396,oro160396,PRJNA518082,not collected,not collected,feces metagenome,2016-04-29,USA: Maple Hill Hollis NH,not applicable,libB,sample,oro160396
oro160397,oro160397,PRJNA518082,not collected,not collected,feces metagenome,2016-04-29,USA: Maple Hill Hollis NH,not applicable,libB,sample,oro160397
oro160398,oro160398,PRJNA518082,not collected,not collected,feces metagenome,2016-04-29,USA: Maple Hill Hollis NH,not applicable,libB,sample,oro160398
oro160399,oro160399,PRJNA518082,not collected,not collected,feces metagenome,2016-04-29,USA: Maple Hill Hollis NH,not applicable,libB,sample,oro160399
oro160400,oro160400,PRJNA518082,not collected,not collected,feces metagenome,2016-04-29,USA: Maple Hill Hollis NH,not applicable,libB,sample,oro160400
oro160401,oro160401,PRJNA518082,not collected,not collected,feces metagenome,2016-04-29,USA: Maple Hill Hollis NH,not applicable,libB,sample,oro160401
oro160403,oro160403,PRJNA518082,not collected,not collected,feces metagenome,2016-04-29,USA: Maple Hill Hollis NH,not applicable,libB,sample,oro160403
oro160404,oro160404,PRJNA518082,not collected,not collected,feces metagenome,2016-04-29,USA: Maple Hill Hollis NH,not applicable,libB,sample,oro160404
oro160405,oro160405,PRJNA518082,not collected,not collected,feces metagenome,2016-04-29,USA: Maple Hill Hollis NH,not applicable,libB,sample,oro160405
