*sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_broad_scale	*env_local_scale	*env_medium	*geo_loc_name	*host	*lat_lon	SampleType	Library
oro160061		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160062		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160063		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160064		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160065		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160066		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160067		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160068		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160069		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160070		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160071		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160072		SUB5109424	not collected	2016-06-13	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160073		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160074		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160075		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160076		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160077		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160078		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160079		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160080		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160081		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160082		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160083		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160084		SUB5109424	not collected	2016-06-19	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160085		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160086		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160087		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160088		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160090		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160091		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160092		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160093		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160094		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160095		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
oro160096		SUB5109424	not collected	2016-06-27	not collected	not collected	not collected	Hopkinton NH	not collected	not collected	sample	libB
bri160138		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160139		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160141		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libC
bri160142		SUB5109424	not collected	2016-06-15	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160143		SUB5109424	not collected	2016-06-15	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160145		SUB5109424	not collected	2016-06-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160148		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160149		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160151		SUB5109424	not collected	2016-06-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160152		SUB5109424	not collected	2016-06-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
