Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN10875814	negoro05A01	negoro05A01	feces metagenome	1861841	negoro05A01	PRJNA518082
SAMN10875815	negoro05B03	negoro05B03	feces metagenome	1861841	negoro05B03	PRJNA518082
SAMN10875816	negoro05C03	negoro05C03	feces metagenome	1861841	negoro05C03	PRJNA518082
SAMN10875817	negoro05D04	negoro05D04	feces metagenome	1861841	negoro05D04	PRJNA518082
SAMN10875818	negoro05E05	negoro05E05	feces metagenome	1861841	negoro05E05	PRJNA518082
SAMN10875819	negoro05F06	negoro05F06	feces metagenome	1861841	negoro05F06	PRJNA518082
SAMN10875820	negoro05G07	negoro05G07	feces metagenome	1861841	negoro05G07	PRJNA518082
SAMN10875821	negoro05H08	negoro05H08	feces metagenome	1861841	negoro05H08	PRJNA518082
SAMN10875822	negoro06B02	negoro06B02	feces metagenome	1861841	negoro06B02	PRJNA518082
SAMN10875823	negoro06C03	negoro06C03	feces metagenome	1861841	negoro06C03	PRJNA518082
SAMN10875824	negoro06D04	negoro06D04	feces metagenome	1861841	negoro06D04	PRJNA518082
SAMN10875825	negoro06E05	negoro06E05	feces metagenome	1861841	negoro06E05	PRJNA518082
SAMN10875826	negoro06F06	negoro06F06	feces metagenome	1861841	negoro06F06	PRJNA518082
SAMN10875827	negoro06G07	negoro06G07	feces metagenome	1861841	negoro06G07	PRJNA518082
SAMN10875828	negoro06H07	negoro06H07	feces metagenome	1861841	negoro06H07	PRJNA518082
SAMN10875829	negoro07A01	negoro07A01	feces metagenome	1861841	negoro07A01	PRJNA518082
SAMN10875830	negoro07C03	negoro07C03	feces metagenome	1861841	negoro07C03	PRJNA518082
SAMN10875831	negoro07D04	negoro07D04	feces metagenome	1861841	negoro07D04	PRJNA518082
SAMN10875832	negoro07E05	negoro07E05	feces metagenome	1861841	negoro07E05	PRJNA518082
SAMN10875833	negoro07F06	negoro07F06	feces metagenome	1861841	negoro07F06	PRJNA518082
SAMN10875834	negoro07G07	negoro07G07	feces metagenome	1861841	negoro07G07	PRJNA518082
SAMN10875835	negoro07H08	negoro07H08	feces metagenome	1861841	negoro07H08	PRJNA518082
SAMN10875836	negoro08B02	negoro08B02	feces metagenome	1861841	negoro08B02	PRJNA518082
SAMN10875837	negoro08D04	negoro08D04	feces metagenome	1861841	negoro08D04	PRJNA518082
SAMN10875838	negoro08F06	negoro08F06	feces metagenome	1861841	negoro08F06	PRJNA518082
SAMN10875839	negoro08G07	negoro08G07	feces metagenome	1861841	negoro08G07	PRJNA518082
SAMN10875840	negoro08H08	negoro08H08	feces metagenome	1861841	negoro08H08	PRJNA518082
SAMN10875841	negoro08H11	negoro08H11	feces metagenome	1861841	negoro08H11	PRJNA518082
SAMN10875842	negoro09A01	negoro09A01	feces metagenome	1861841	negoro09A01	PRJNA518082
SAMN10875843	negoro09C03	negoro09C03	feces metagenome	1861841	negoro09C03	PRJNA518082
SAMN10875844	negoro09D04	negoro09D04	feces metagenome	1861841	negoro09D04	PRJNA518082
SAMN10875845	negoro09E05	negoro09E05	feces metagenome	1861841	negoro09E05	PRJNA518082
SAMN10875846	negoro09F06	negoro09F06	feces metagenome	1861841	negoro09F06	PRJNA518082
SAMN10875847	negoro09G07	negoro09G07	feces metagenome	1861841	negoro09G07	PRJNA518082
SAMN10875848	negoro09H08	negoro09H08	feces metagenome	1861841	negoro09H08	PRJNA518082
SAMN10875849	negoro10B02	negoro10B02	feces metagenome	1861841	negoro10B02	PRJNA518082
SAMN10875850	negoro10D04	negoro10D04	feces metagenome	1861841	negoro10D04	PRJNA518082
SAMN10875851	negoro10E05	negoro10E05	feces metagenome	1861841	negoro10E05	PRJNA518082
SAMN10875852	negoro10F06	negoro10F06	feces metagenome	1861841	negoro10F06	PRJNA518082
SAMN10875853	negoro10G07	negoro10G07	feces metagenome	1861841	negoro10G07	PRJNA518082
SAMN10875854	negoro10H08	negoro10H08	feces metagenome	1861841	negoro10H08	PRJNA518082
SAMN10875855	oro161134	oro161134	feces metagenome	1861841	oro161134	PRJNA518082
SAMN10875856	oro161135	oro161135	feces metagenome	1861841	oro161135	PRJNA518082
SAMN10875857	oro161136	oro161136	feces metagenome	1861841	oro161136	PRJNA518082
SAMN10875858	oro161137	oro161137	feces metagenome	1861841	oro161137	PRJNA518082
SAMN10875859	oro161138	oro161138	feces metagenome	1861841	oro161138	PRJNA518082
SAMN10875860	oro161139	oro161139	feces metagenome	1861841	oro161139	PRJNA518082
