Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
negoro05A01		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro05A01
negoro05B03		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro05B03
negoro05C03		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro05C03
negoro05D04		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro05D04
negoro05E05		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro05E05
negoro05F06		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro05F06
negoro05G07		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro05G07
negoro05H08		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro05H08
negoro06B02		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro06B02
negoro06C03		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro06C03
negoro06D04		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro06D04
negoro06E05		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro06E05
negoro06F06		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro06F06
negoro06G07		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro06G07
negoro06H07		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro06H07
negoro07A01		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro07A01
negoro07C03		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro07C03
negoro07D04		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro07D04
negoro07E05		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro07E05
negoro07F06		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro07F06
negoro07G07		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro07G07
negoro07H08		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro07H08
negoro08B02		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro08B02
negoro08D04		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro08D04
negoro08F06		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro08F06
negoro08G07		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro08G07
negoro08H08		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro08H08
negoro08H11		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro08H11
negoro09A01		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro09A01
negoro09C03		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro09C03
negoro09D04		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro09D04
negoro09E05		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro09E05
negoro09F06		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro09F06
negoro09G07		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro09G07
negoro09H08		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro09H08
negoro10B02		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro10B02
negoro10D04		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro10D04
negoro10E05		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro10E05
negoro10F06		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro10F06
negoro10G07		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro10G07
negoro10H08		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro10H08
oro161134		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161134
oro161135		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161135
oro161136		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161136
oro161137		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161137
oro161138		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161138
