bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	Library
PRJNA518082	mockIM4p4L1	mockIM4p4L1	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	mockIM4p4L1_L001_R1_001.fastq.gz	mockIM4p4L1_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro05A01	negoro05A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro05A01_L001_R1_001.fastq.gz	negoro05A01_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro05B03	negoro05B03	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro05B03_L001_R1_001.fastq.gz	negoro05B03_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro05C03	negoro05C03	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro05C03_L001_R1_001.fastq.gz	negoro05C03_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro05D04	negoro05D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro05D04_L001_R1_001.fastq.gz	negoro05D04_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro05E05	negoro05E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro05E05_L001_R1_001.fastq.gz	negoro05E05_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro05F06	negoro05F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro05F06_L001_R1_001.fastq.gz	negoro05F06_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro05G07	negoro05G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro05G07_L001_R1_001.fastq.gz	negoro05G07_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro05H08	negoro05H08	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro05H08_L001_R1_001.fastq.gz	negoro05H08_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro06B02	negoro06B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro06B02_L001_R1_001.fastq.gz	negoro06B02_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro06C03	negoro06C03	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro06C03_L001_R1_001.fastq.gz	negoro06C03_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro06D04	negoro06D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro06D04_L001_R1_001.fastq.gz	negoro06D04_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro06E05	negoro06E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro06E05_L001_R1_001.fastq.gz	negoro06E05_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro06F06	negoro06F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro06F06_L001_R1_001.fastq.gz	negoro06F06_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro06G07	negoro06G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro06G07_L001_R1_001.fastq.gz	negoro06G07_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro06H07	negoro06H07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro06H07_L001_R1_001.fastq.gz	negoro06H07_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro07A01	negoro07A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro07A01_L001_R1_001.fastq.gz	negoro07A01_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro07C03	negoro07C03	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro07C03_L001_R1_001.fastq.gz	negoro07C03_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro07D04	negoro07D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro07D04_L001_R1_001.fastq.gz	negoro07D04_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro07E05	negoro07E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro07E05_L001_R1_001.fastq.gz	negoro07E05_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro07F06	negoro07F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro07F06_L001_R1_001.fastq.gz	negoro07F06_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro07G07	negoro07G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro07G07_L001_R1_001.fastq.gz	negoro07G07_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro07H08	negoro07H08	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro07H08_L001_R1_001.fastq.gz	negoro07H08_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro08B02	negoro08B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro08B02_L001_R1_001.fastq.gz	negoro08B02_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro08D04	negoro08D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro08D04_L001_R1_001.fastq.gz	negoro08D04_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro08F06	negoro08F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro08F06_L001_R1_001.fastq.gz	negoro08F06_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro08G07	negoro08G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro08G07_L001_R1_001.fastq.gz	negoro08G07_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro08H08	negoro08H08	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro08H08_L001_R1_001.fastq.gz	negoro08H08_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro08H11	negoro08H11	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro08H11_L001_R1_001.fastq.gz	negoro08H11_L001_R2_001.fastq.gz	libA
