Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN10876362	oro160061	oro160061	feces metagenome	1861841	oro160061	PRJNA518082
SAMN10876363	oro160062	oro160062	feces metagenome	1861841	oro160062	PRJNA518082
SAMN10876364	oro160063	oro160063	feces metagenome	1861841	oro160063	PRJNA518082
SAMN10876365	oro160064	oro160064	feces metagenome	1861841	oro160064	PRJNA518082
SAMN10876366	oro160065	oro160065	feces metagenome	1861841	oro160065	PRJNA518082
SAMN10876367	oro160066	oro160066	feces metagenome	1861841	oro160066	PRJNA518082
SAMN10876368	oro160067	oro160067	feces metagenome	1861841	oro160067	PRJNA518082
SAMN10876369	oro160068	oro160068	feces metagenome	1861841	oro160068	PRJNA518082
SAMN10876370	oro160069	oro160069	feces metagenome	1861841	oro160069	PRJNA518082
SAMN10876371	oro160070	oro160070	feces metagenome	1861841	oro160070	PRJNA518082
SAMN10876372	oro160071	oro160071	feces metagenome	1861841	oro160071	PRJNA518082
SAMN10876373	oro160072	oro160072	feces metagenome	1861841	oro160072	PRJNA518082
SAMN10876374	oro160073	oro160073	feces metagenome	1861841	oro160073	PRJNA518082
SAMN10876375	oro160074	oro160074	feces metagenome	1861841	oro160074	PRJNA518082
SAMN10876376	oro160075	oro160075	feces metagenome	1861841	oro160075	PRJNA518082
SAMN10876377	oro160076	oro160076	feces metagenome	1861841	oro160076	PRJNA518082
SAMN10876378	oro160077	oro160077	feces metagenome	1861841	oro160077	PRJNA518082
SAMN10876379	oro160078	oro160078	feces metagenome	1861841	oro160078	PRJNA518082
SAMN10876380	oro160079	oro160079	feces metagenome	1861841	oro160079	PRJNA518082
SAMN10876381	oro160080	oro160080	feces metagenome	1861841	oro160080	PRJNA518082
SAMN10876382	oro160081	oro160081	feces metagenome	1861841	oro160081	PRJNA518082
SAMN10876383	oro160082	oro160082	feces metagenome	1861841	oro160082	PRJNA518082
SAMN10876384	oro160083	oro160083	feces metagenome	1861841	oro160083	PRJNA518082
SAMN10876385	oro160084	oro160084	feces metagenome	1861841	oro160084	PRJNA518082
SAMN10876386	oro160085	oro160085	feces metagenome	1861841	oro160085	PRJNA518082
SAMN10876387	oro160086	oro160086	feces metagenome	1861841	oro160086	PRJNA518082
SAMN10876388	oro160087	oro160087	feces metagenome	1861841	oro160087	PRJNA518082
SAMN10876389	oro160088	oro160088	feces metagenome	1861841	oro160088	PRJNA518082
SAMN10876390	oro160090	oro160090	feces metagenome	1861841	oro160090	PRJNA518082
SAMN10876391	oro160091	oro160091	feces metagenome	1861841	oro160091	PRJNA518082
SAMN10876392	oro160092	oro160092	feces metagenome	1861841	oro160092	PRJNA518082
SAMN10876393	oro160093	oro160093	feces metagenome	1861841	oro160093	PRJNA518082
SAMN10876394	oro160094	oro160094	feces metagenome	1861841	oro160094	PRJNA518082
SAMN10876395	oro160095	oro160095	feces metagenome	1861841	oro160095	PRJNA518082
SAMN10876396	oro160096	oro160096	feces metagenome	1861841	oro160096	PRJNA518082
SAMN10876397	oro160384	oro160384	feces metagenome	1861841	oro160384	PRJNA518082
SAMN10876398	oro160385	oro160385	feces metagenome	1861841	oro160385	PRJNA518082
SAMN10876399	oro160386	oro160386	feces metagenome	1861841	oro160386	PRJNA518082
SAMN10876400	oro160387	oro160387	feces metagenome	1861841	oro160387	PRJNA518082
SAMN10876401	oro160388	oro160388	feces metagenome	1861841	oro160388	PRJNA518082
SAMN10876402	oro160392	oro160392	feces metagenome	1861841	oro160392	PRJNA518082
SAMN10876403	oro160393	oro160393	feces metagenome	1861841	oro160393	PRJNA518082
SAMN10876404	oro160394	oro160394	feces metagenome	1861841	oro160394	PRJNA518082
SAMN10876405	oro160395	oro160395	feces metagenome	1861841	oro160395	PRJNA518082
SAMN10876406	oro160396	oro160396	feces metagenome	1861841	oro160396	PRJNA518082
SAMN10876407	oro160397	oro160397	feces metagenome	1861841	oro160397	PRJNA518082
SAMN10876408	oro160398	oro160398	feces metagenome	1861841	oro160398	PRJNA518082
SAMN10876409	oro160399	oro160399	feces metagenome	1861841	oro160399	PRJNA518082
SAMN10876410	oro160400	oro160400	feces metagenome	1861841	oro160400	PRJNA518082
SAMN10876411	oro160401	oro160401	feces metagenome	1861841	oro160401	PRJNA518082
SAMN10876412	oro160403	oro160403	feces metagenome	1861841	oro160403	PRJNA518082
SAMN10876413	oro160404	oro160404	feces metagenome	1861841	oro160404	PRJNA518082
SAMN10876414	oro160405	oro160405	feces metagenome	1861841	oro160405	PRJNA518082
SAMN10876415	oro160406	oro160406	feces metagenome	1861841	oro160406	PRJNA518082
SAMN10876416	oro160407	oro160407	feces metagenome	1861841	oro160407	PRJNA518082
SAMN10876417	oro160408	oro160408	feces metagenome	1861841	oro160408	PRJNA518082
SAMN10876418	oro160409	oro160409	feces metagenome	1861841	oro160409	PRJNA518082
SAMN10876419	oro160410	oro160410	feces metagenome	1861841	oro160410	PRJNA518082
SAMN10876420	oro160411	oro160411	feces metagenome	1861841	oro160411	PRJNA518082
SAMN10876421	oro160412	oro160412	feces metagenome	1861841	oro160412	PRJNA518082
SAMN10876422	oro160413	oro160413	feces metagenome	1861841	oro160413	PRJNA518082
SAMN10876423	oro160414	oro160414	feces metagenome	1861841	oro160414	PRJNA518082
SAMN10876424	oro160415	oro160415	feces metagenome	1861841	oro160415	PRJNA518082
SAMN10876425	oro160416	oro160416	feces metagenome	1861841	oro160416	PRJNA518082
SAMN10876426	oro160417	oro160417	feces metagenome	1861841	oro160417	PRJNA518082
SAMN10876427	oro160418	oro160418	feces metagenome	1861841	oro160418	PRJNA518082
SAMN10876428	oro160419	oro160419	feces metagenome	1861841	oro160419	PRJNA518082
SAMN10876429	oro160420	oro160420	feces metagenome	1861841	oro160420	PRJNA518082
SAMN10876430	oro160421	oro160421	feces metagenome	1861841	oro160421	PRJNA518082
SAMN10876431	oro160422	oro160422	feces metagenome	1861841	oro160422	PRJNA518082
SAMN10876432	oro160423	oro160423	feces metagenome	1861841	oro160423	PRJNA518082
SAMN10876433	oro160424	oro160424	feces metagenome	1861841	oro160424	PRJNA518082
SAMN10876434	oro160425	oro160425	feces metagenome	1861841	oro160425	PRJNA518082
SAMN10876435	oro160426	oro160426	feces metagenome	1861841	oro160426	PRJNA518082
SAMN10876436	oro160427	oro160427	feces metagenome	1861841	oro160427	PRJNA518082
SAMN10876437	oro160428	oro160428	feces metagenome	1861841	oro160428	PRJNA518082
SAMN10876438	oro160429	oro160429	feces metagenome	1861841	oro160429	PRJNA518082
SAMN10876439	oro160430	oro160430	feces metagenome	1861841	oro160430	PRJNA518082
SAMN10876440	oro160431	oro160431	feces metagenome	1861841	oro160431	PRJNA518082
SAMN10876441	oro160434	oro160434	feces metagenome	1861841	oro160434	PRJNA518082
SAMN10876442	oro160435	oro160435	feces metagenome	1861841	oro160435	PRJNA518082
SAMN10876443	oro160436	oro160436	feces metagenome	1861841	oro160436	PRJNA518082
SAMN10876444	oro160437	oro160437	feces metagenome	1861841	oro160437	PRJNA518082
SAMN10876445	oro160438	oro160438	feces metagenome	1861841	oro160438	PRJNA518082
SAMN10876446	oro160439	oro160439	feces metagenome	1861841	oro160439	PRJNA518082
SAMN10876447	oro160440	oro160440	feces metagenome	1861841	oro160440	PRJNA518082
SAMN10876448	oro160441	oro160441	feces metagenome	1861841	oro160441	PRJNA518082
SAMN10876449	oro160442	oro160442	feces metagenome	1861841	oro160442	PRJNA518082
SAMN10876450	oro160443	oro160443	feces metagenome	1861841	oro160443	PRJNA518082
SAMN10876451	oro160444	oro160444	feces metagenome	1861841	oro160444	PRJNA518082
SAMN10876452	oro160445	oro160445	feces metagenome	1861841	oro160445	PRJNA518082
SAMN10876453	oro160446	oro160446	feces metagenome	1861841	oro160446	PRJNA518082
SAMN10876454	oro160447	oro160447	feces metagenome	1861841	oro160447	PRJNA518082
SAMN10876455	oro160448	oro160448	feces metagenome	1861841	oro160448	PRJNA518082
SAMN10876456	oro160449	oro160449	feces metagenome	1861841	oro160449	PRJNA518082
SAMN10876457	oro160450	oro160450	feces metagenome	1861841	oro160450	PRJNA518082
SAMN10876458	oro160451	oro160451	feces metagenome	1861841	oro160451	PRJNA518082
SAMN10876459	oro160452	oro160452	feces metagenome	1861841	oro160452	PRJNA518082
SAMN10876460	oro160453	oro160453	feces metagenome	1861841	oro160453	PRJNA518082
