Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro160061		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160061
oro160062		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160062
oro160063		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160063
oro160064		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160064
oro160065		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160065
oro160066		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160066
oro160067		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160067
oro160068		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160068
oro160069		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160069
oro160070		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160070
oro160071		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160071
oro160072		PRJNA518082	not collected		feces metagenome	2016-06-13	USA: Hopkinton NH	not collected	sample	oro160072
oro160073		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160073
oro160074		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160074
oro160075		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160075
oro160076		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160076
oro160077		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160077
oro160078		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160078
oro160079		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160079
oro160080		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160080
oro160081		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160081
oro160082		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160082
oro160083		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160083
oro160084		PRJNA518082	not collected		feces metagenome	2016-06-19	USA: Hopkinton NH	not collected	sample	oro160084
oro160085		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160085
oro160086		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160086
oro160087		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160087
