bioproject_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	biosample_accession
PRJNA518082	mockIM4p4L2	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	mockIM4p4L2_L001_R1_001.fastq.gz	mockIM4p4L2_L001_R2_001.fastq.gz	SAMN10876813
PRJNA518082	negoro12B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro12B02_L001_R1_001.fastq.gz	negoro12B02_L001_R2_001.fastq.gz	SAMN10876667
PRJNA518082	negoro12C03	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro12C03_L001_R1_001.fastq.gz	negoro12C03_L001_R2_001.fastq.gz	SAMN10876668
PRJNA518082	negoro12D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro12D04_L001_R1_001.fastq.gz	negoro12D04_L001_R2_001.fastq.gz	SAMN10876669
PRJNA518082	negoro12E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro12E05_L001_R1_001.fastq.gz	negoro12E05_L001_R2_001.fastq.gz	SAMN10876670
PRJNA518082	negoro12F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro12F06_L001_R1_001.fastq.gz	negoro12F06_L001_R2_001.fastq.gz	SAMN10876671
PRJNA518082	negoro12G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro12G07_L001_R1_001.fastq.gz	negoro12G07_L001_R2_001.fastq.gz	SAMN10876672
PRJNA518082	negoro12H08	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro12H08_L001_R1_001.fastq.gz	negoro12H08_L001_R2_001.fastq.gz	SAMN10876673
PRJNA518082	negoro13A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro13A01_L001_R1_001.fastq.gz	negoro13A01_L001_R2_001.fastq.gz	SAMN10876674
PRJNA518082	negoro13B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro13B02_L001_R1_001.fastq.gz	negoro13B02_L001_R2_001.fastq.gz	SAMN10876675
