Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN10876818	bri160141	bri160141	feces metagenome	1861841	bri160141	PRJNA518082
SAMN10876819	bri160357	bri160357	feces metagenome	1861841	bri160357	PRJNA518082
SAMN10876820	bri160659	bri160659	feces metagenome	1861841	bri160659	PRJNA518082
SAMN10876821	bri160660	bri160660	feces metagenome	1861841	bri160660	PRJNA518082
SAMN10876822	oro160684	oro160684	feces metagenome	1861841	oro160684	PRJNA518082
SAMN10876823	oro160692	oro160692	feces metagenome	1861841	oro160692	PRJNA518082
SAMN10876824	bri160692	bri160692	feces metagenome	1861841	bri160692	PRJNA518082
SAMN10876825	oro160693	oro160693	feces metagenome	1861841	oro160693	PRJNA518082
SAMN10876826	oro160694	oro160694	feces metagenome	1861841	oro160694	PRJNA518082
SAMN10876827	oro160695	oro160695	feces metagenome	1861841	oro160695	PRJNA518082
SAMN10876828	oro160696	oro160696	feces metagenome	1861841	oro160696	PRJNA518082
SAMN10876829	oro160697	oro160697	feces metagenome	1861841	oro160697	PRJNA518082
SAMN10876830	oro160698	oro160698	feces metagenome	1861841	oro160698	PRJNA518082
SAMN10876831	oro160700	oro160700	feces metagenome	1861841	oro160700	PRJNA518082
SAMN10876832	oro160701	oro160701	feces metagenome	1861841	oro160701	PRJNA518082
SAMN10876833	oro160703	oro160703	feces metagenome	1861841	oro160703	PRJNA518082
SAMN10876834	oro160704	oro160704	feces metagenome	1861841	oro160704	PRJNA518082
SAMN10876835	oro160706	oro160706	feces metagenome	1861841	oro160706	PRJNA518082
SAMN10876836	oro162556a	oro162556a	feces metagenome	1861841	oro162556a	PRJNA518082
SAMN10876837	oro162834	oro162834	feces metagenome	1861841	oro162834	PRJNA518082
SAMN10876838	oro162835	oro162835	feces metagenome	1861841	oro162835	PRJNA518082
SAMN10876839	oro162838	oro162838	feces metagenome	1861841	oro162838	PRJNA518082
SAMN10876840	oro162839	oro162839	feces metagenome	1861841	oro162839	PRJNA518082
SAMN10876841	oro162840	oro162840	feces metagenome	1861841	oro162840	PRJNA518082
SAMN10876842	oro162841	oro162841	feces metagenome	1861841	oro162841	PRJNA518082
SAMN10876843	oro162842	oro162842	feces metagenome	1861841	oro162842	PRJNA518082
SAMN10876844	oro162843	oro162843	feces metagenome	1861841	oro162843	PRJNA518082
SAMN10876845	oro162845	oro162845	feces metagenome	1861841	oro162845	PRJNA518082
SAMN10876846	oro162846	oro162846	feces metagenome	1861841	oro162846	PRJNA518082
SAMN10876847	oro162847	oro162847	feces metagenome	1861841	oro162847	PRJNA518082
SAMN10876848	oro162848	oro162848	feces metagenome	1861841	oro162848	PRJNA518082
SAMN10876849	oro162849	oro162849	feces metagenome	1861841	oro162849	PRJNA518082
