Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
bri160141		PRJNA518082	not collected		feces metagenome	2016-07-09	USA: Acadia National Park ME	not collected	sample	bri160141
bri160357		PRJNA518082	not collected		feces metagenome	2016-07-16	USA: Ely Mine VT	not collected	sample	bri160357
bri160659		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Ely Mine VT	not collected	sample	bri160659
bri160660		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Ely Mine VT	not collected	sample	bri160660
oro160684		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Rollinsford NH	not collected	sample	oro160684
oro160692		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Rollinsford NH	not collected	sample	oro160692
bri160692		PRJNA518082	not collected		feces metagenome	2016-07-26	USA: Ely Mine VT	not collected	sample	bri160692
oro160693		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Rollinsford NH	not collected	sample	oro160693
oro160694		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Rollinsford NH	not collected	sample	oro160694
oro160695		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Rollinsford NH	not collected	sample	oro160695
oro160696		PRJNA518082	not collected		feces metagenome	2016-07-01	USA: Rollinsford NH	not collected	sample	oro160696
oro160697		PRJNA518082	not collected		feces metagenome	2016-07-01	USA: Rollinsford NH	not collected	sample	oro160697
oro160698		PRJNA518082	not collected		feces metagenome	2016-07-01	USA: Rollinsford NH	not collected	sample	oro160698
oro160700		PRJNA518082	not collected		feces metagenome	2016-07-01	USA: Rollinsford NH	not collected	sample	oro160700
oro160701		PRJNA518082	not collected		feces metagenome	2016-07-01	USA: Rollinsford NH	not collected	sample	oro160701
oro160703		PRJNA518082	not collected		feces metagenome	2016-07-01	USA: Rollinsford NH	not collected	sample	oro160703
oro160704		PRJNA518082	not collected		feces metagenome	2016-07-01	USA: Rollinsford NH	not collected	sample	oro160704
oro160706		PRJNA518082	not collected		feces metagenome	2016-07-01	USA: Rollinsford NH	not collected	sample	oro160706
oro162556a		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro162556a
oro162834		PRJNA518082	not collected		feces metagenome	2016-06-25	USA: Fairfield ME	not collected	sample	oro162834
oro162835		PRJNA518082	not collected		feces metagenome	2016-06-25	USA: Fairfield ME	not collected	sample	oro162835
oro162838		PRJNA518082	not collected		feces metagenome	2016-06-25	USA: Fairfield ME	not collected	sample	oro162838
oro162839		PRJNA518082	not collected		feces metagenome	2016-06-25	USA: Fairfield ME	not collected	sample	oro162839
oro162840		PRJNA518082	not collected		feces metagenome	2016-06-25	USA: Fairfield ME	not collected	sample	oro162840
oro162841		PRJNA518082	not collected		feces metagenome	2016-06-25	USA: Fairfield ME	not collected	sample	oro162841
oro162842		PRJNA518082	not collected		feces metagenome	2016-06-25	USA: Fairfield ME	not collected	sample	oro162842
oro162843		PRJNA518082	not collected		feces metagenome	2016-06-25	USA: Fairfield ME	not collected	sample	oro162843
oro162845		PRJNA518082	not collected		feces metagenome	2016-06-25	USA: Fairfield ME	not collected	sample	oro162845
oro162846		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162846
oro162847		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162847
oro162848		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162848
oro162849		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162849
oro162850		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162850
oro162852		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162852
oro162853		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162853
oro162855		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162855
oro162856		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162856
oro162857		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Fairfield ME	not collected	sample	oro162857
oro162859		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Fairfield ME	not collected	sample	oro162859
oro162860		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Fairfield ME	not collected	sample	oro162860
