bioproject_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	biosample_accession
PRJNA518082	bri160141	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160141_L001_R1_001.fastq.gz	bri160141_L001_R2_001.fastq.gz	SAMN10876818
PRJNA518082	bri160357	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160357_L001_R1_001.fastq.gz	bri160357_L001_R2_001.fastq.gz	SAMN10876819
PRJNA518082	bri160659	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160659_L001_R1_001.fastq.gz	bri160659_L001_R2_001.fastq.gz	SAMN10876820
PRJNA518082	bri160660	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160660_L001_R1_001.fastq.gz	bri160660_L001_R2_001.fastq.gz	SAMN10876821
PRJNA518082	bri160692	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160692_L001_R1_001.fastq.gz	bri160692_L001_R2_001.fastq.gz	SAMN10876824
PRJNA518082	mockIM4p7L1	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	mockIM4p7L1_L001_R1_001.fastq.gz	mockIM4p7L1_L001_R2_001.fastq.gz	SAMN10877265
PRJNA518082	negoro30B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro30B02_L001_R1_001.fastq.gz	negoro30B02_L001_R2_001.fastq.gz	SAMN10876889
PRJNA518082	negoro30D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro30D04_L001_R1_001.fastq.gz	negoro30D04_L001_R2_001.fastq.gz	SAMN10876890
PRJNA518082	negoro30E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro30E05_L001_R1_001.fastq.gz	negoro30E05_L001_R2_001.fastq.gz	SAMN10876891
PRJNA518082	negoro30G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro30G07_L001_R1_001.fastq.gz	negoro30G07_L001_R2_001.fastq.gz	SAMN10876892
PRJNA518082	negoro31A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro31A01_L001_R1_001.fastq.gz	negoro31A01_L001_R2_001.fastq.gz	SAMN10876899
PRJNA518082	negoro31B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro31B02_L001_R1_001.fastq.gz	negoro31B02_L001_R2_001.fastq.gz	SAMN10876900
PRJNA518082	negoro31D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro31D04_L001_R1_001.fastq.gz	negoro31D04_L001_R2_001.fastq.gz	SAMN10876901
PRJNA518082	negoro31G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro31G07_L001_R1_001.fastq.gz	negoro31G07_L001_R2_001.fastq.gz	SAMN10876902
PRJNA518082	negoro32A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro32A01_L001_R1_001.fastq.gz	negoro32A01_L001_R2_001.fastq.gz	SAMN10876968
PRJNA518082	negoro32B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro32B02_L001_R1_001.fastq.gz	negoro32B02_L001_R2_001.fastq.gz	SAMN10876969
PRJNA518082	negoro32D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro32D04_L001_R1_001.fastq.gz	negoro32D04_L001_R2_001.fastq.gz	SAMN10876970
PRJNA518082	negoro32E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro32E05_L001_R1_001.fastq.gz	negoro32E05_L001_R2_001.fastq.gz	SAMN10876971
PRJNA518082	negoro32F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro32F06_L001_R1_001.fastq.gz	negoro32F06_L001_R2_001.fastq.gz	SAMN10876972
PRJNA518082	negoro33B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro33B02_L001_R1_001.fastq.gz	negoro33B02_L001_R2_001.fastq.gz	SAMN10876983
PRJNA518082	negoro33C03	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro33C03_L001_R1_001.fastq.gz	negoro33C03_L001_R2_001.fastq.gz	SAMN10876984
PRJNA518082	negoro33D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro33D04_L001_R1_001.fastq.gz	negoro33D04_L001_R2_001.fastq.gz	SAMN10876985
PRJNA518082	negoro33E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro33E05_L001_R1_001.fastq.gz	negoro33E05_L001_R2_001.fastq.gz	SAMN10876986
PRJNA518082	negoro33F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro33F06_L001_R1_001.fastq.gz	negoro33F06_L001_R2_001.fastq.gz	SAMN10876987
PRJNA518082	negoro33G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro33G07_L001_R1_001.fastq.gz	negoro33G07_L001_R2_001.fastq.gz	SAMN10876988
PRJNA518082	negoro34A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro34A01_L001_R1_001.fastq.gz	negoro34A01_L001_R2_001.fastq.gz	SAMN10877071
PRJNA518082	negoro34B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro34B02_L001_R1_001.fastq.gz	negoro34B02_L001_R2_001.fastq.gz	SAMN10877072
PRJNA518082	negoro34D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro34D04_L001_R1_001.fastq.gz	negoro34D04_L001_R2_001.fastq.gz	SAMN10877073
PRJNA518082	negoro34E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro34E05_L001_R1_001.fastq.gz	negoro34E05_L001_R2_001.fastq.gz	SAMN10877074
PRJNA518082	negoro34F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro34F06_L001_R1_001.fastq.gz	negoro34F06_L001_R2_001.fastq.gz	SAMN10877075
PRJNA518082	negoro34G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro34G07_L001_R1_001.fastq.gz	negoro34G07_L001_R2_001.fastq.gz	SAMN10877076
