Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN10877266	bri160138	bri160138	feces metagenome	1861841	bri160138	PRJNA518082
SAMN10877267	bri160139	bri160139	feces metagenome	1861841	bri160139	PRJNA518082
SAMN10877268	bri160142	bri160142	feces metagenome	1861841	bri160142	PRJNA518082
SAMN10877269	bri160143	bri160143	feces metagenome	1861841	bri160143	PRJNA518082
SAMN10877270	bri160145	bri160145	feces metagenome	1861841	bri160145	PRJNA518082
SAMN10877271	bri160148	bri160148	feces metagenome	1861841	bri160148	PRJNA518082
SAMN10877272	bri160149	bri160149	feces metagenome	1861841	bri160149	PRJNA518082
SAMN10877273	bri160151	bri160151	feces metagenome	1861841	bri160151	PRJNA518082
SAMN10877274	bri160152	bri160152	feces metagenome	1861841	bri160152	PRJNA518082
SAMN10877275	bri160153	bri160153	feces metagenome	1861841	bri160153	PRJNA518082
SAMN10877276	bri160154	bri160154	feces metagenome	1861841	bri160154	PRJNA518082
SAMN10877277	bri160155	bri160155	feces metagenome	1861841	bri160155	PRJNA518082
SAMN10877278	bri160156	bri160156	feces metagenome	1861841	bri160156	PRJNA518082
SAMN10877279	bri160157	bri160157	feces metagenome	1861841	bri160157	PRJNA518082
SAMN10877280	bri160158	bri160158	feces metagenome	1861841	bri160158	PRJNA518082
SAMN10877281	bri160159	bri160159	feces metagenome	1861841	bri160159	PRJNA518082
SAMN10877282	bri160161	bri160161	feces metagenome	1861841	bri160161	PRJNA518082
SAMN10877283	bri160162	bri160162	feces metagenome	1861841	bri160162	PRJNA518082
SAMN10877284	bri160406	bri160406	feces metagenome	1861841	bri160406	PRJNA518082
SAMN10877285	bri160407	bri160407	feces metagenome	1861841	bri160407	PRJNA518082
SAMN10877286	bri160408	bri160408	feces metagenome	1861841	bri160408	PRJNA518082
SAMN10877287	bri160409	bri160409	feces metagenome	1861841	bri160409	PRJNA518082
SAMN10877288	bri160410	bri160410	feces metagenome	1861841	bri160410	PRJNA518082
SAMN10877289	bri160411	bri160411	feces metagenome	1861841	bri160411	PRJNA518082
SAMN10877290	bri160412	bri160412	feces metagenome	1861841	bri160412	PRJNA518082
SAMN10877291	bri160568	bri160568	feces metagenome	1861841	bri160568	PRJNA518082
SAMN10877292	bri160570	bri160570	feces metagenome	1861841	bri160570	PRJNA518082
SAMN10877293	bri160571	bri160571	feces metagenome	1861841	bri160571	PRJNA518082
SAMN10877294	bri160572	bri160572	feces metagenome	1861841	bri160572	PRJNA518082
SAMN10877295	bri160573	bri160573	feces metagenome	1861841	bri160573	PRJNA518082
SAMN10877296	bri160575	bri160575	feces metagenome	1861841	bri160575	PRJNA518082
SAMN10877297	bri160576	bri160576	feces metagenome	1861841	bri160576	PRJNA518082
SAMN10877298	bri160577	bri160577	feces metagenome	1861841	bri160577	PRJNA518082
SAMN10877299	bri160579	bri160579	feces metagenome	1861841	bri160579	PRJNA518082
SAMN10877300	bri160580	bri160580	feces metagenome	1861841	bri160580	PRJNA518082
SAMN10877301	bri160581	bri160581	feces metagenome	1861841	bri160581	PRJNA518082
SAMN10877302	bri160582	bri160582	feces metagenome	1861841	bri160582	PRJNA518082
SAMN10877303	bri160583	bri160583	feces metagenome	1861841	bri160583	PRJNA518082
SAMN10877304	bri160584	bri160584	feces metagenome	1861841	bri160584	PRJNA518082
SAMN10877305	bri160585	bri160585	feces metagenome	1861841	bri160585	PRJNA518082
SAMN10877306	bri160586	bri160586	feces metagenome	1861841	bri160586	PRJNA518082
SAMN10877307	bri160587	bri160587	feces metagenome	1861841	bri160587	PRJNA518082
SAMN10877308	bri160588	bri160588	feces metagenome	1861841	bri160588	PRJNA518082
SAMN10877309	bri160589	bri160589	feces metagenome	1861841	bri160589	PRJNA518082
SAMN10877310	bri160600	bri160600	feces metagenome	1861841	bri160600	PRJNA518082
SAMN10877311	bri160601	bri160601	feces metagenome	1861841	bri160601	PRJNA518082
SAMN10877312	bri160602	bri160602	feces metagenome	1861841	bri160602	PRJNA518082
SAMN10877313	bri160604	bri160604	feces metagenome	1861841	bri160604	PRJNA518082
SAMN10877314	bri160605	bri160605	feces metagenome	1861841	bri160605	PRJNA518082
SAMN10877315	bri160606	bri160606	feces metagenome	1861841	bri160606	PRJNA518082
SAMN10877316	bri160607	bri160607	feces metagenome	1861841	bri160607	PRJNA518082
SAMN10877317	bri160608	bri160608	feces metagenome	1861841	bri160608	PRJNA518082
SAMN10877318	bri160609	bri160609	feces metagenome	1861841	bri160609	PRJNA518082
SAMN10877319	bri160610	bri160610	feces metagenome	1861841	bri160610	PRJNA518082
SAMN10877320	bri160611	bri160611	feces metagenome	1861841	bri160611	PRJNA518082
SAMN10877321	bri160612	bri160612	feces metagenome	1861841	bri160612	PRJNA518082
