Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
bri160138		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Acadia National Park ME	not collected	sample	bri160138
bri160139		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Acadia National Park ME	not collected	sample	bri160139
bri160142		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Acadia National Park ME	not collected	sample	bri160142
bri160143		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Acadia National Park ME	not collected	sample	bri160143
bri160145		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Acadia National Park ME	not collected	sample	bri160145
bri160148		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Acadia National Park ME	not collected	sample	bri160148
bri160149		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Acadia National Park ME	not collected	sample	bri160149
bri160151		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Acadia National Park ME	not collected	sample	bri160151
bri160152		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Acadia National Park ME	not collected	sample	bri160152
bri160153		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Acadia National Park ME	not collected	sample	bri160153
bri160154		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Acadia National Park ME	not collected	sample	bri160154
bri160155		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Acadia National Park ME	not collected	sample	bri160155
bri160156		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Acadia National Park ME	not collected	sample	bri160156
bri160157		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Acadia National Park ME	not collected	sample	bri160157
bri160158		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Acadia National Park ME	not collected	sample	bri160158
bri160159		PRJNA518082	not collected		feces metagenome	2016-06-08	USA: Acadia National Park ME	not collected	sample	bri160159
bri160161		PRJNA518082	not collected		feces metagenome	2016-05-27	USA: Yorktown Naval Weapons Station VA	not collected	sample	bri160161
bri160162		PRJNA518082	not collected		feces metagenome	2016-05-27	USA: Yorktown Naval Weapons Station VA	not collected	sample	bri160162
bri160406		PRJNA518082	not collected		feces metagenome	2016-07-28	USA: Ely Mine VT	not collected	sample	bri160406
bri160407		PRJNA518082	not collected		feces metagenome	2016-07-28	USA: Ely Mine VT	not collected	sample	bri160407
bri160408		PRJNA518082	not collected		feces metagenome	2016-07-28	USA: Ely Mine VT	not collected	sample	bri160408
bri160409		PRJNA518082	not collected		feces metagenome	2016-07-28	USA: Ely Mine VT	not collected	sample	bri160409
bri160410		PRJNA518082	not collected		feces metagenome	2016-07-28	USA: Ely Mine VT	not collected	sample	bri160410
bri160411		PRJNA518082	not collected		feces metagenome	2016-07-28	USA: Ely Mine VT	not collected	sample	bri160411
bri160412		PRJNA518082	not collected		feces metagenome	2016-07-28	USA: Ely Mine VT	not collected	sample	bri160412
bri160568		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Ely Mine VT	not collected	sample	bri160568
bri160570		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Ely Mine VT	not collected	sample	bri160570
bri160571		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Ely Mine VT	not collected	sample	bri160571
bri160572		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Ely Mine VT	not collected	sample	bri160572
bri160573		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Ely Mine VT	not collected	sample	bri160573
bri160575		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Ely Mine VT	not collected	sample	bri160575
bri160576		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Ely Mine VT	not collected	sample	bri160576
bri160577		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Ely Mine VT	not collected	sample	bri160577
bri160579		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160579
bri160580		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160580
bri160581		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160581
bri160582		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160582
bri160583		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160583
bri160584		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160584
bri160585		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160585
bri160586		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160586
bri160587		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160587
bri160588		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160588
bri160589		PRJNA518082	not collected		feces metagenome	2016-08-23	USA: Ely Mine VT	not collected	sample	bri160589
bri160600		PRJNA518082	not collected		feces metagenome	2016-08-24	USA: Ely Mine VT	not collected	sample	bri160600
bri160601		PRJNA518082	not collected		feces metagenome	2016-08-24	USA: Ely Mine VT	not collected	sample	bri160601
bri160602		PRJNA518082	not collected		feces metagenome	2016-08-24	USA: Ely Mine VT	not collected	sample	bri160602
bri160604		PRJNA518082	not collected		feces metagenome	2016-08-24	USA: Ely Mine VT	not collected	sample	bri160604
bri160605		PRJNA518082	not collected		feces metagenome	2016-08-24	USA: Ely Mine VT	not collected	sample	bri160605
bri160606		PRJNA518082	not collected		feces metagenome	2016-08-24	USA: Ely Mine VT	not collected	sample	bri160606
bri160607		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Ely Mine VT	not collected	sample	bri160607
bri160608		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Ely Mine VT	not collected	sample	bri160608
