bioproject_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	biosample_accession
PRJNA518082	bri160138	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160138_L001_R1_001.fastq.gz	bri160138_L001_R2_001.fastq.gz	SAMN10877266
PRJNA518082	bri160139	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160139_L001_R1_001.fastq.gz	bri160139_L001_R2_001.fastq.gz	SAMN10877267
PRJNA518082	bri160142	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160142_L001_R1_001.fastq.gz	bri160142_L001_R2_001.fastq.gz	SAMN10877268
PRJNA518082	bri160143	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160143_L001_R1_001.fastq.gz	bri160143_L001_R2_001.fastq.gz	SAMN10877269
PRJNA518082	bri160145	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160145_L001_R1_001.fastq.gz	bri160145_L001_R2_001.fastq.gz	SAMN10877270
PRJNA518082	bri160148	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160148_L001_R1_001.fastq.gz	bri160148_L001_R2_001.fastq.gz	SAMN10877271
PRJNA518082	bri160149	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160149_L001_R1_001.fastq.gz	bri160149_L001_R2_001.fastq.gz	SAMN10877272
PRJNA518082	bri160151	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160151_L001_R1_001.fastq.gz	bri160151_L001_R2_001.fastq.gz	SAMN10877273
PRJNA518082	bri160152	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160152_L001_R1_001.fastq.gz	bri160152_L001_R2_001.fastq.gz	SAMN10877274
PRJNA518082	bri160153	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160153_L001_R1_001.fastq.gz	bri160153_L001_R2_001.fastq.gz	SAMN10877275
PRJNA518082	bri160154	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160154_L001_R1_001.fastq.gz	bri160154_L001_R2_001.fastq.gz	SAMN10877276
PRJNA518082	bri160155	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160155_L001_R1_001.fastq.gz	bri160155_L001_R2_001.fastq.gz	SAMN10877277
PRJNA518082	bri160156	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160156_L001_R1_001.fastq.gz	bri160156_L001_R2_001.fastq.gz	SAMN10877278
PRJNA518082	bri160157	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160157_L001_R1_001.fastq.gz	bri160157_L001_R2_001.fastq.gz	SAMN10877279
PRJNA518082	bri160158	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160158_L001_R1_001.fastq.gz	bri160158_L001_R2_001.fastq.gz	SAMN10877280
PRJNA518082	bri160159	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160159_L001_R1_001.fastq.gz	bri160159_L001_R2_001.fastq.gz	SAMN10877281
PRJNA518082	bri160161	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160161_L001_R1_001.fastq.gz	bri160161_L001_R2_001.fastq.gz	SAMN10877282
PRJNA518082	bri160162	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160162_L001_R1_001.fastq.gz	bri160162_L001_R2_001.fastq.gz	SAMN10877283
PRJNA518082	bri160406	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160406_L001_R1_001.fastq.gz	bri160406_L001_R2_001.fastq.gz	SAMN10877284
PRJNA518082	bri160407	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160407_L001_R1_001.fastq.gz	bri160407_L001_R2_001.fastq.gz	SAMN10877285
PRJNA518082	bri160408	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160408_L001_R1_001.fastq.gz	bri160408_L001_R2_001.fastq.gz	SAMN10877286
PRJNA518082	bri160409	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160409_L001_R1_001.fastq.gz	bri160409_L001_R2_001.fastq.gz	SAMN10877287
PRJNA518082	bri160410	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160410_L001_R1_001.fastq.gz	bri160410_L001_R2_001.fastq.gz	SAMN10877288
PRJNA518082	bri160411	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160411_L001_R1_001.fastq.gz	bri160411_L001_R2_001.fastq.gz	SAMN10877289
PRJNA518082	bri160412	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160412_L001_R1_001.fastq.gz	bri160412_L001_R2_001.fastq.gz	SAMN10877290
PRJNA518082	bri160568	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160568_L001_R1_001.fastq.gz	bri160568_L001_R2_001.fastq.gz	SAMN10877291
PRJNA518082	bri160570	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160570_L001_R1_001.fastq.gz	bri160570_L001_R2_001.fastq.gz	SAMN10877292
PRJNA518082	bri160571	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160571_L001_R1_001.fastq.gz	bri160571_L001_R2_001.fastq.gz	SAMN10877293
PRJNA518082	bri160572	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160572_L001_R1_001.fastq.gz	bri160572_L001_R2_001.fastq.gz	SAMN10877294
PRJNA518082	bri160573	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160573_L001_R1_001.fastq.gz	bri160573_L001_R2_001.fastq.gz	SAMN10877295
PRJNA518082	bri160575	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160575_L001_R1_001.fastq.gz	bri160575_L001_R2_001.fastq.gz	SAMN10877296
PRJNA518082	bri160576	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160576_L001_R1_001.fastq.gz	bri160576_L001_R2_001.fastq.gz	SAMN10877297
PRJNA518082	bri160577	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160577_L001_R1_001.fastq.gz	bri160577_L001_R2_001.fastq.gz	SAMN10877298
PRJNA518082	bri160579	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160579_L001_R1_001.fastq.gz	bri160579_L001_R2_001.fastq.gz	SAMN10877299
PRJNA518082	bri160580	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160580_L001_R1_001.fastq.gz	bri160580_L001_R2_001.fastq.gz	SAMN10877300
PRJNA518082	bri160581	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160581_L001_R1_001.fastq.gz	bri160581_L001_R2_001.fastq.gz	SAMN10877301
PRJNA518082	bri160582	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160582_L001_R1_001.fastq.gz	bri160582_L001_R2_001.fastq.gz	SAMN10877302
PRJNA518082	bri160583	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160583_L001_R1_001.fastq.gz	bri160583_L001_R2_001.fastq.gz	SAMN10877303
PRJNA518082	bri160584	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160584_L001_R1_001.fastq.gz	bri160584_L001_R2_001.fastq.gz	SAMN10877304
PRJNA518082	bri160585	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160585_L001_R1_001.fastq.gz	bri160585_L001_R2_001.fastq.gz	SAMN10877305
PRJNA518082	bri160586	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160586_L001_R1_001.fastq.gz	bri160586_L001_R2_001.fastq.gz	SAMN10877306
PRJNA518082	bri160587	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160587_L001_R1_001.fastq.gz	bri160587_L001_R2_001.fastq.gz	SAMN10877307
PRJNA518082	bri160588	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160588_L001_R1_001.fastq.gz	bri160588_L001_R2_001.fastq.gz	SAMN10877308
PRJNA518082	bri160589	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160589_L001_R1_001.fastq.gz	bri160589_L001_R2_001.fastq.gz	SAMN10877309
PRJNA518082	bri160600	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160600_L001_R1_001.fastq.gz	bri160600_L001_R2_001.fastq.gz	SAMN10877310
PRJNA518082	bri160601	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160601_L001_R1_001.fastq.gz	bri160601_L001_R2_001.fastq.gz	SAMN10877311
PRJNA518082	bri160602	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160602_L001_R1_001.fastq.gz	bri160602_L001_R2_001.fastq.gz	SAMN10877312
PRJNA518082	bri160604	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160604_L001_R1_001.fastq.gz	bri160604_L001_R2_001.fastq.gz	SAMN10877313
PRJNA518082	bri160605	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160605_L001_R1_001.fastq.gz	bri160605_L001_R2_001.fastq.gz	SAMN10877314
PRJNA518082	bri160606	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160606_L001_R1_001.fastq.gz	bri160606_L001_R2_001.fastq.gz	SAMN10877315
PRJNA518082	bri160607	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160607_L001_R1_001.fastq.gz	bri160607_L001_R2_001.fastq.gz	SAMN10877316
PRJNA518082	bri160608	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160608_L001_R1_001.fastq.gz	bri160608_L001_R2_001.fastq.gz	SAMN10877317
