SeqID,SampleType,NewDate,Library,bioproject_accession,organism,env_broad_scale,env_local_scale,env_medium,host,lat_lon,taxonomy,isolate,catsite
oro160061,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160061,USA: Hopkinton NH
oro160062,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160062,USA: Hopkinton NH
oro160063,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160063,USA: Hopkinton NH
oro160064,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160064,USA: Hopkinton NH
oro160065,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160065,USA: Hopkinton NH
oro160066,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160066,USA: Hopkinton NH
oro160067,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160067,USA: Hopkinton NH
oro160068,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160068,USA: Hopkinton NH
oro160069,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160069,USA: Hopkinton NH
oro160070,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160070,USA: Hopkinton NH
oro160071,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160071,USA: Hopkinton NH
oro160072,sample,2016-06-13,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160072,USA: Hopkinton NH
oro160073,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160073,USA: Hopkinton NH
oro160074,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160074,USA: Hopkinton NH
oro160075,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160075,USA: Hopkinton NH
oro160076,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160076,USA: Hopkinton NH
