Denoiser,Sample,q0_basic,q0_standard,q0_extra,q1_basic,q1_standard,q1_extra,q2_basic,q2_standard,q2_extra
DADA2,libA,25.00,24.00,24.00,23.82,23.55,23.54,23.31,23.17,23.16
DADA2,libB,24.00,25.00,24.00,23.62,23.65,23.62,23.30,23.31,23.30
DADA2,libC,24.00,24.00,24.00,23.48,23.48,23.49,23.01,23.02,23.03
DADA2,libD,25.00,24.00,24.00,23.55,23.52,23.52,23.11,23.11,23.11
Deblur,libA,31.00,29.00,24.00,23.74,23.68,23.53,23.19,23.17,23.13
Deblur,libB,27.00,25.00,24.00,23.64,23.58,23.56,23.16,23.14,23.15
Deblur,libC,30.00,24.00,24.00,23.78,23.60,23.60,23.30,23.24,23.23
Deblur,libD,42.00,25.00,24.00,24.26,23.53,23.50,23.29,23.06,23.05
VSEARCH,libA,39.00,23.00,23.00,22.49,22.04,22.02,21.01,20.95,20.91
VSEARCH,libB,30.00,25.00,24.00,22.31,22.18,22.16,21.08,21.05,21.10
VSEARCH,libC,34.00,29.00,24.00,22.35,22.25,22.13,20.89,20.94,21.00
VSEARCH,libD,30.00,25.00,24.00,22.09,21.95,21.94,20.73,20.67,20.69
