Source,df,SS,MS,F.Model,R2,P(perm)
**Dice-Sorensen model**,,,,,,
Method,2,0.3904,0.1952,0.5300,0.0013,1
Filt,2,1.2350,0.6175,1.6766,0.0041,0.002
MonthStart,3,42.7005,14.2335,38.6446,0.1416,0.001
Method:Filt,4,0.5143,0.1286,0.3491,0.0017,1
Method:MonthStart,6,0.8599,0.1433,0.3891,0.0029,1
Filt:MonthStart,6,1.4150,0.2358,0.6403,0.0047,1
Method:Filt:MonthStart,12,1.6909,0.1409,0.3826,0.0056,1
Residuals,686,252.6656,0.3683,,0.8381,
Total,721,301.4715,,,1.0000,

Bray-Curtis model,,,,,,
Method,2,0.0992,0.0496,0.1128,0.0003,1
Filt,2,0.5497,0.2748,0.6255,0.0017,0.995
MonthStart,3,28.1871,9.3957,21.3842,0.0850,0.001
Method:Filt,4,0.1183,0.0296,0.0673,0.0004,1
Method:MonthStart,6,0.2469,0.0412,0.0937,0.0007,1
Filt:MonthStart,6,0.6192,0.1032,0.2349,0.0019,1
Method:Filt:MonthStart,12,0.2627,0.0219,0.0498,0.0008,1
Residuals,686,301.4112,0.4394,,0.9093,
Total,721,331.4943,,,1.0000,

Morisita-Horn model,,,,,,
Method,2,0.0586,0.0293,0.0674,0.0002,1
Filt,2,0.3378,0.1689,0.3888,0.0010,1
MonthStart,3,29.5051,9.8350,22.6365,0.0897,0.001
Method:Filt,4,0.0914,0.0229,0.0526,0.0003,1
Method:MonthStart,6,0.1866,0.0311,0.0716,0.0006,1
Filt:MonthStart,6,0.4741,0.0790,0.1819,0.0014,1
Method:Filt:MonthStart,12,0.1894,0.0158,0.0363,0.0006,1
Residuals,686,298.0513,0.4345,,0.9062,
Total,721,328.8944,,,1.0000,
