Sample,DADA2-basic,Deblur-basic,VSEARCH-basic,CommonASVs-basic,DADA2-standard,Deblur-standard,VSEARCH-standard,CommonASVs-standard,DADA2-extra,Deblur-extra,VSEARCH-extra,CommonASVs-extra
Exact-libA,22,23,19,19,22,22,19,19,22,22,19,19
Exact-libB,22,22,21,21,22,22,21,21,22,22,21,21
Exact-libC,22,22,18,18,22,22,18,18,22,22,18,18
Exact-libD,23,23,19,19,22,22,19,19,22,22,19,19
Exact-SharedASVsAcrossAllLibraries,22,22,16,,22,22,16,,22,22,16,
Partial-libA,3,4,28,2,2,3,4,2,2,4,4,2
Partial-libB,2,2,35,2,2,2,6,2,2,2,3,2
Partial-libC,2,2,59,2,2,2,20,2,2,2,8,2
Partial-libD,2,138,173,2,2,7,10,2,2,4,6,2
Partial-SharedASVsAcrossAllLibraries,2,2,2,,2,2,2,,2,2,2,
Miss-libA,5,60,67,1,2,11,26,1,,,,
Miss-libB,8,96,184,2,6,16,62,2,,,,
Miss-libC,7,45,90,5,6,12,44,5,,,,
Miss-libD,20,364,412,8,12,23,92,7,,,,
Miss-SharedASVsAcrossAllLibraries,0,0,3,,0,0,3,,,,,
