query	k__Animalia;p__location_output
0007499f294ed1468239dcfcc5689d72	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
0008c84452d3d57cad188f36fc3dcfff	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Lycosidae
000b0f7a01a8c438d7548723e3f48866	k__Animalia;p__Arthropoda;c__Insecta
0010fceb4a81a05d9a1d9cd1ca6378d7	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
0018d08164d1ff71929c4365fd9fe916	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
0021868efb8e7cd53c337a5d28b828d5	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Nephrotoma;s__Nephrotoma ferruginea
0039ac8608e8925d81ca6fbb667b8612	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
003bc4279c877bb64690746c446ee7e2	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Athous;s__Athous brightwelli
003e30227920a5062265162516074756	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
004991a83a6298a46f211edb5f4a0c77	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Hydrophilidae;g__Helocombus;s__Helocombus bifidus
005c3a2f9f0c0836caf2f02c070f7770	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Philodromus
0069d28e1ab5cd817168e97e6e234f7b	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Oecophoridae;g__Philobota;s__Philobota sp. ANIC139
006a3c337d2216dd81509af1dd485c2f	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
006fa5118fa2929f4674b9d8d7582748	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Cratyna
0071cbc26603da21f5b1741be713c59d	k__Animalia;p__Arthropoda;c__Insecta
007226f52307e4eae17e3e85e227d7d1	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
007cb9a2be6df005d108a4993e3d20e8	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Hydropsychidae;g__Cheumatopsyche
008011fed1b1968fd7094eeaaa95d49d	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
00896f6fd1b8b02fa627296d0eb51e5c	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae;g__Eucopina;s__Eucopina tocullionana
009e9aad6208f5243f14797bb7c50bad	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Maccaffertium;s__Maccaffertium terminatum
00a2b9f98022f98f056f3fcb2001dd0b	k__Animalia;p__Arthropoda;c__Insecta
00a2e4919d566d40e76841ce425f6fe7	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Coleotechnites
00a9e0cac384e8abebff110037667e3f	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Stenonema;s__Stenonema femoratum
00ab5de955bef788d54e992bda15703e	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__Aphis;s__Aphis spiraecola
00adec7b8330a258ef9aa0c530a6e0c7	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Dipseudopsidae;g__Phylocentropus;s__Phylocentropus placidus
00b34bedd1b6db525eeaeca2d2cb5bca	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Phryganeidae;g__Ptilostomis;s__Ptilostomis ocellifera
00b57fa555a42fe56b68063a88817d85	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
00baa009d50b7e0162f4122d6d42881a	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Metalimnobia
00c8f6d772f38fedde0f24fbcd44f032	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Hepialidae
00cd0ab56bdd2f142d78d0aacc3ec5dc	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae;g__Acrolophus;s__Acrolophus BioLep447
00d823e0a6136313fc7cafe0f3a22850	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;g__Phyllophaga;s__Phyllophaga hirticula
00ec49de0eaff51710f1b2731cb1fc91	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Erioptera;s__Erioptera caliptera
00ef8c8ab32a62f6f8a2f9b4d10fed3d	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
00f952e975d87ded62c363d52179c394	k__Animalia;p__Arthropoda;c__Insecta
011005084c08bd4c19fdb293171ad238	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
0111b00f0ccbe2d49e1e7e2fe9c057e0	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Hydropsychidae;g__Cheumatopsyche
011741af5ee53b70010e822621a944ec	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Maccaffertium;s__Maccaffertium mediopunctatum
01189a3c117c845a822a96d0c392518c	k__Animalia;p__Arthropoda;c__Insecta
011ab6fb9eeaf3923e29b2419f37925b	k__Animalia;p__Arthropoda;c__Insecta
011abe6ce2ae8cf4fbd599b7273a3087	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Amaurobiidae;g__Callobius;s__Callobius bennetti
011f67146d12620e8f8896b8b3180ec1	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Idia;s__Idia americalis
