"","query","location_output"
"1","0008c84452d3d57cad188f36fc3dcfff","Arthropoda;Arachnida;Araneae;Lycosidae;Piratula"
"2","0010fceb4a81a05d9a1d9cd1ca6378d7","Arthropoda;Insecta;Lepidoptera;Blastobasidae;Asaphocrita;Asaphocrita busckiella"
"3","0018d08164d1ff71929c4365fd9fe916","Arthropoda;Insecta;Lepidoptera"
"4","0021868efb8e7cd53c337a5d28b828d5","Arthropoda;Insecta;Diptera;Tipulidae;Nephrotoma;Nephrotoma ferruginea"
"5","0039ac8608e8925d81ca6fbb667b8612","Arthropoda;Insecta;Lepidoptera"
"6","005c3a2f9f0c0836caf2f02c070f7770","Arthropoda;Arachnida;Araneae;Philodromidae;Philodromus"
"7","0069d28e1ab5cd817168e97e6e234f7b","Arthropoda;Insecta;Lepidoptera;Oecophoridae;Philobota;Philobota sp. ANIC139"
"8","006fa5118fa2929f4674b9d8d7582748","Arthropoda;Insecta;Diptera;Sciaridae;Cratyna"
"9","007226f52307e4eae17e3e85e227d7d1","Arthropoda;Insecta;Lepidoptera;Pyralidae;Ephestiodes;Ephestiodes erythrella"
"10","007cb9a2be6df005d108a4993e3d20e8","Arthropoda;Insecta;Trichoptera;Hydropsychidae;Cheumatopsyche"
"11","008011fed1b1968fd7094eeaaa95d49d","Arthropoda;Insecta;Lepidoptera;Blastobasidae;Asaphocrita;Asaphocrita aphidiella"
"12","009e9aad6208f5243f14797bb7c50bad","Arthropoda;Insecta;Ephemeroptera;Heptageniidae;Maccaffertium;Maccaffertium terminatum"
"13","00a9e0cac384e8abebff110037667e3f","Arthropoda;Insecta;Ephemeroptera;Heptageniidae;Stenonema;Stenonema femoratum"
"14","00ab5de955bef788d54e992bda15703e","Arthropoda;Insecta;Hemiptera;Aphididae;Aphis;Aphis spiraecola"
"15","00adec7b8330a258ef9aa0c530a6e0c7","Arthropoda;Insecta;Trichoptera;Dipseudopsidae;Phylocentropus;Phylocentropus placidus"
"16","00b34bedd1b6db525eeaeca2d2cb5bca","Arthropoda;Insecta;Trichoptera;Phryganeidae;Ptilostomis;Ptilostomis ocellifera"
"17","00b57fa555a42fe56b68063a88817d85","Arthropoda;Insecta;Lepidoptera"
"18","00baa009d50b7e0162f4122d6d42881a","Arthropoda;Insecta;Diptera;Limoniidae;Metalimnobia;Metalimnobia triocellata"
"19","00c8f6d772f38fedde0f24fbcd44f032","Arthropoda;Insecta;Lepidoptera;Hepialidae;Korscheltellus;Korscheltellus gracilis"
"20","00ef8c8ab32a62f6f8a2f9b4d10fed3d","Arthropoda;Insecta;Lepidoptera"
"21","00f952e975d87ded62c363d52179c394","Arthropoda;Insecta;Diptera;Culicidae;Aedes;Aedes sp."
"22","0111b00f0ccbe2d49e1e7e2fe9c057e0","Arthropoda;Insecta;Trichoptera;Hydropsychidae;Cheumatopsyche"
"23","011741af5ee53b70010e822621a944ec","Arthropoda;Insecta;Ephemeroptera;Heptageniidae;Maccaffertium;Maccaffertium mediopunctatum"
"24","011ab6fb9eeaf3923e29b2419f37925b","Arthropoda;Insecta;Diptera"
"25","011abe6ce2ae8cf4fbd599b7273a3087","Arthropoda;Arachnida;Araneae;Amaurobiidae;Callobius;Callobius bennetti"
"26","011ff0755fa96450186226e077dfa322","Arthropoda;Insecta;Diptera;Bolitophilidae;Bolitophila"
"27","012270bf53c2edcf52695f22ad5530ad","Arthropoda;Insecta;Lepidoptera;Tortricidae;Phtheochroa"
"28","01306b89843094668eedab3dd305780b","Arthropoda;Insecta;Diptera;Chaoboridae;Chaoborus;Chaoborus punctipennis"
"29","01497181c6c1e11218646703b8f15ac1","Arthropoda;Insecta;Lepidoptera;Depressariidae;Psilocorsis"
"30","015cf5a5d7bc64a1fb4f4c7e34a3b023","Arthropoda;Insecta;Coleoptera;Elateridae;Melanotus;Melanotus similis"
"31","016079b272cfc6df55347707effec450","Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;Tanytarsus mendax"
"32","0194efa493df4c8f681431a5571b7743","Arthropoda;Insecta;Megaloptera;Corydalidae;Chauliodes;Chauliodes pectinicornis"
"33","01b2be609ff99c0007515f329043715a","Arthropoda;Insecta;Hemiptera;Cicadellidae;Gyponana;Gyponana expanda"
"34","01d41b96bbf776659a5d77877f30584e","Arthropoda;Insecta;Diptera;Chironomidae;Procladius;Procladius rufovittatus"
"35","01e6f83ed86af36c9b0bde932ec06031","Arthropoda;Insecta;Diptera;Bombyliidae;Lepidophora"
"36","01ee04ccb58f8f4ef72f309755b145de","Arthropoda;Insecta;Lepidoptera"
"37","01eef8b879a560a9a728fadd780f12de","Arthropoda;Insecta;Ephemeroptera;Caenidae;Caenis"
"38","0201434e273a5ad08555532b434c334b","Arthropoda;Insecta;Diptera;Chaoboridae;Chaoborus;Chaoborus punctipennis"
"39","0234c37b81b7a23126a5ff598eef1eb4","Arthropoda;Insecta;Coleoptera;Cleridae;Placopterus;Placopterus thoracicus"
"40","0234e2cc089998fe20541bea7828c849","Arthropoda;Insecta;Diptera;Ceratopogonidae;Atrichopogon"
"41","0237e513f7a4b2d49c5f1a7e5f8faabc","Arthropoda;Insecta;Lepidoptera;Tortricidae;Zomaria;Zomaria interruptolineana"
"42","0245a65fd2413cba4f5ad3000d74d6af","Arthropoda;Insecta;Coleoptera;Carabidae;Notiobia;Notiobia terminata"
"43","0258395c035afa9eb72c5d631d461167","Arthropoda;Insecta;Diptera;Empididae;Hemerodromia"
"44","025d9fa82e0c4c8fb796b1f1aa2c0393","Arthropoda;Insecta;Lepidoptera;Geometridae;Plagodis;Plagodis serinaria"
"45","02715268ba7e3fd5fea67213d31a05de","Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila suzukii"
"46","027cb62a13056de3ce3e9f9aea0c226f","Arthropoda;Insecta;Trichoptera;Limnephilidae;Pycnopsyche;Pycnopsyche nr. lepida"
"47","02804e8f753d253c2dde04889f8bf1c4","Arthropoda;Insecta;Coleoptera;Silphidae;Nicrophorus;Nicrophorus pustulatus"
