matchtest,nMatches,Pair,Level
Distinct,5,Palmer:Vsearch,Class
Shared,8168,Palmer:Vsearch,Class
Distinct,5,Palmer:Blast,Class
Shared,8279,Palmer:Blast,Class
Shared,8155,Vsearch:Blast,Class
Distinct,19,Palmer:Vsearch,Order
Shared,8142,Palmer:Vsearch,Order
Distinct,22,Palmer:Blast,Order
Shared,8249,Palmer:Blast,Order
Shared,8145,Vsearch:Blast,Order
Distinct,188,Palmer:Vsearch,Family
Shared,7769,Palmer:Vsearch,Family
Distinct,225,Palmer:Blast,Family
Shared,7805,Palmer:Blast,Family
Distinct,70,Vsearch:Blast,Family
Shared,7974,Vsearch:Blast,Family
Distinct,83,Palmer:Vsearch,Genus
Shared,6829,Palmer:Vsearch,Genus
Distinct,86,Palmer:Blast,Genus
Shared,6856,Palmer:Blast,Genus
Distinct,18,Vsearch:Blast,Genus
Shared,7019,Vsearch:Blast,Genus
Distinct,143,Palmer:Vsearch,Species
Shared,4658,Palmer:Vsearch,Species
Distinct,142,Palmer:Blast,Species
Shared,4647,Palmer:Blast,Species
Distinct,17,Vsearch:Blast,Species
Shared,4891,Vsearch:Blast,Species
