Dataset,length,lengthCounts,nObs,pObs
derep,100,12,1841946,6.51484896951376e-06
derep,101,21,1841946,1.14009856966491e-05
derep,102,16,1841946,8.68646529268502e-06
derep,103,12,1841946,6.51484896951376e-06
derep,104,6,1841946,3.25742448475688e-06
derep,105,10,1841946,5.42904080792814e-06
derep,106,29,1841946,1.57442183429916e-05
derep,107,12,1841946,6.51484896951376e-06
derep,108,16,1841946,8.68646529268502e-06
derep,109,16,1841946,8.68646529268502e-06
derep,110,7,1841946,3.8003285655497e-06
derep,111,15,1841946,8.1435612118922e-06
derep,112,8,1841946,4.34323264634251e-06
derep,113,16,1841946,8.68646529268502e-06
derep,114,18,1841946,9.77227345427065e-06
derep,115,44,1841946,2.38877795548838e-05
derep,116,18,1841946,9.77227345427065e-06
derep,117,106,1841946,5.75478325640382e-05
derep,118,10,1841946,5.42904080792814e-06
derep,119,47,1841946,2.55164917972622e-05
derep,120,32,1841946,1.737293058537e-05
derep,121,12,1841946,6.51484896951376e-06
derep,122,19,1841946,1.03151775350635e-05
derep,123,23,1841946,1.24867938582347e-05
derep,124,23,1841946,1.24867938582347e-05
derep,125,15,1841946,8.1435612118922e-06
derep,126,16,1841946,8.68646529268502e-06
derep,127,18,1841946,9.77227345427065e-06
derep,128,24,1841946,1.30296979390275e-05
derep,129,33,1841946,1.79158346661629e-05
derep,130,10,1841946,5.42904080792814e-06
derep,131,17,1841946,9.22936937347783e-06
derep,132,54,1841946,2.93168203628119e-05
derep,133,20,1841946,1.08580816158563e-05
derep,134,22,1841946,1.19438897774419e-05
derep,135,47,1841946,2.55164917972622e-05
derep,136,14,1841946,7.60065713109939e-06
derep,137,17,1841946,9.22936937347783e-06
derep,138,22,1841946,1.19438897774419e-05
derep,139,16,1841946,8.68646529268502e-06
derep,140,10,1841946,5.42904080792814e-06
derep,141,20,1841946,1.08580816158563e-05
derep,142,7,1841946,3.8003285655497e-06
derep,143,14,1841946,7.60065713109939e-06
derep,144,24,1841946,1.30296979390275e-05
derep,145,15,1841946,8.1435612118922e-06
derep,146,919,1841946,0.000498928850248596
derep,147,17,1841946,9.22936937347783e-06
derep,148,22,1841946,1.19438897774419e-05
derep,149,12,1841946,6.51484896951376e-06
derep,150,17,1841946,9.22936937347783e-06
derep,151,17,1841946,9.22936937347783e-06
derep,152,9,1841946,4.88613672713532e-06
derep,153,23,1841946,1.24867938582347e-05
derep,154,19,1841946,1.03151775350635e-05
derep,155,16,1841946,8.68646529268502e-06
derep,156,35,1841946,1.90016428277485e-05
derep,157,14,1841946,7.60065713109939e-06
derep,158,9,1841946,4.88613672713532e-06
derep,159,27,1841946,1.4658410181406e-05
derep,160,21,1841946,1.14009856966491e-05
derep,161,23,1841946,1.24867938582347e-05
derep,162,35,1841946,1.90016428277485e-05
derep,163,18,1841946,9.77227345427065e-06
derep,164,3356,1841946,0.00182198609514068
derep,165,32,1841946,1.737293058537e-05
derep,166,13,1841946,7.05775305030658e-06
derep,167,13,1841946,7.05775305030658e-06
derep,168,26,1841946,1.41155061006132e-05
derep,169,17,1841946,9.22936937347783e-06
derep,170,11,1841946,5.97194488872095e-06
derep,171,36,1841946,1.95445469085413e-05
derep,172,10,1841946,5.42904080792814e-06
derep,173,7,1841946,3.8003285655497e-06
derep,174,11,1841946,5.97194488872095e-06
derep,175,13,1841946,7.05775305030658e-06
derep,176,17,1841946,9.22936937347783e-06
derep,177,30,1841946,1.62871224237844e-05
derep,178,11,1841946,5.97194488872095e-06
derep,179,22,1841946,1.19438897774419e-05
derep,180,18,1841946,9.77227345427065e-06
derep,181,12,1841946,6.51484896951376e-06
derep,182,21,1841946,1.14009856966491e-05
derep,183,29,1841946,1.57442183429916e-05
derep,184,14,1841946,7.60065713109939e-06
derep,185,19,1841946,1.03151775350635e-05
derep,186,30,1841946,1.62871224237844e-05
derep,187,12,1841946,6.51484896951376e-06
derep,188,22,1841946,1.19438897774419e-05
derep,189,40,1841946,2.17161632317125e-05
derep,190,15,1841946,8.1435612118922e-06
derep,191,14,1841946,7.60065713109939e-06
derep,192,29,1841946,1.57442183429916e-05
derep,193,46,1841946,2.49735877164694e-05
derep,194,17,1841946,9.22936937347783e-06
derep,195,26,1841946,1.41155061006132e-05
derep,196,20,1841946,1.08580816158563e-05
derep,197,10,1841946,5.42904080792814e-06
derep,198,24,1841946,1.30296979390275e-05
