SeqID,StudyID,SampleType,Library,WOY,DNAplate,Site,Date,MonthStart
negoro05A01,negoro,ncontrol,libA,ncontrol,05,ncontrol,ncontrol,ncontrol
negoro05B03,negoro,ncontrol,libA,ncontrol,05,ncontrol,ncontrol,ncontrol
negoro05C03,negoro,ncontrol,libA,ncontrol,05,ncontrol,ncontrol,ncontrol
negoro05D04,negoro,ncontrol,libA,ncontrol,05,ncontrol,ncontrol,ncontrol
negoro05E05,negoro,ncontrol,libA,ncontrol,05,ncontrol,ncontrol,ncontrol
negoro05F06,negoro,ncontrol,libA,ncontrol,05,ncontrol,ncontrol,ncontrol
negoro05G07,negoro,ncontrol,libA,ncontrol,05,ncontrol,ncontrol,ncontrol
negoro05H08,negoro,ncontrol,libA,ncontrol,05,ncontrol,ncontrol,ncontrol
negoro06B02,negoro,ncontrol,libA,ncontrol,06,ncontrol,ncontrol,ncontrol
negoro06C03,negoro,ncontrol,libA,ncontrol,06,ncontrol,ncontrol,ncontrol
negoro06D04,negoro,ncontrol,libA,ncontrol,06,ncontrol,ncontrol,ncontrol
negoro06E05,negoro,ncontrol,libA,ncontrol,06,ncontrol,ncontrol,ncontrol
negoro06F06,negoro,ncontrol,libA,ncontrol,06,ncontrol,ncontrol,ncontrol
negoro06G07,negoro,ncontrol,libA,ncontrol,06,ncontrol,ncontrol,ncontrol
negoro06H07,negoro,ncontrol,libA,ncontrol,06,ncontrol,ncontrol,ncontrol
negoro07A01,negoro,ncontrol,libA,ncontrol,07,ncontrol,ncontrol,ncontrol
negoro07C03,negoro,ncontrol,libA,ncontrol,07,ncontrol,ncontrol,ncontrol
negoro07D04,negoro,ncontrol,libA,ncontrol,07,ncontrol,ncontrol,ncontrol
negoro07E05,negoro,ncontrol,libA,ncontrol,07,ncontrol,ncontrol,ncontrol
negoro07F06,negoro,ncontrol,libA,ncontrol,07,ncontrol,ncontrol,ncontrol
negoro07G07,negoro,ncontrol,libA,ncontrol,07,ncontrol,ncontrol,ncontrol
negoro07H08,negoro,ncontrol,libA,ncontrol,07,ncontrol,ncontrol,ncontrol
negoro08B02,negoro,ncontrol,libA,ncontrol,08,ncontrol,ncontrol,ncontrol
negoro08D04,negoro,ncontrol,libA,ncontrol,08,ncontrol,ncontrol,ncontrol
negoro08F06,negoro,ncontrol,libA,ncontrol,08,ncontrol,ncontrol,ncontrol
negoro08G07,negoro,ncontrol,libA,ncontrol,08,ncontrol,ncontrol,ncontrol
negoro08H08,negoro,ncontrol,libA,ncontrol,08,ncontrol,ncontrol,ncontrol
negoro08H11,negoro,ncontrol,libA,ncontrol,08,ncontrol,ncontrol,ncontrol
negoro09A01,negoro,ncontrol,libA,ncontrol,09,ncontrol,ncontrol,ncontrol
negoro09C03,negoro,ncontrol,libA,ncontrol,09,ncontrol,ncontrol,ncontrol
negoro09D04,negoro,ncontrol,libA,ncontrol,09,ncontrol,ncontrol,ncontrol
negoro09E05,negoro,ncontrol,libA,ncontrol,09,ncontrol,ncontrol,ncontrol
negoro09F06,negoro,ncontrol,libA,ncontrol,09,ncontrol,ncontrol,ncontrol
negoro09G07,negoro,ncontrol,libA,ncontrol,09,ncontrol,ncontrol,ncontrol
negoro09H08,negoro,ncontrol,libA,ncontrol,09,ncontrol,ncontrol,ncontrol
negoro10B02,negoro,ncontrol,libA,ncontrol,10,ncontrol,ncontrol,ncontrol
negoro10D04,negoro,ncontrol,libA,ncontrol,10,ncontrol,ncontrol,ncontrol
negoro10E05,negoro,ncontrol,libA,ncontrol,10,ncontrol,ncontrol,ncontrol
negoro10F06,negoro,ncontrol,libA,ncontrol,10,ncontrol,ncontrol,ncontrol
negoro10G07,negoro,ncontrol,libA,ncontrol,10,ncontrol,ncontrol,ncontrol
negoro10H08,negoro,ncontrol,libA,ncontrol,10,ncontrol,ncontrol,ncontrol
negoro12B02,negoro,ncontrol,libB,ncontrol,12,ncontrol,ncontrol,ncontrol
negoro12C03,negoro,ncontrol,libB,ncontrol,12,ncontrol,ncontrol,ncontrol
negoro12D04,negoro,ncontrol,libB,ncontrol,12,ncontrol,ncontrol,ncontrol
negoro12E05,negoro,ncontrol,libB,ncontrol,12,ncontrol,ncontrol,ncontrol
negoro12F06,negoro,ncontrol,libB,ncontrol,12,ncontrol,ncontrol,ncontrol
negoro12G07,negoro,ncontrol,libB,ncontrol,12,ncontrol,ncontrol,ncontrol
negoro12H08,negoro,ncontrol,libB,ncontrol,12,ncontrol,ncontrol,ncontrol
negoro13A01,negoro,ncontrol,libB,ncontrol,13,ncontrol,ncontrol,ncontrol
negoro13B02,negoro,ncontrol,libB,ncontrol,13,ncontrol,ncontrol,ncontrol
negoro13C03,negoro,ncontrol,libB,ncontrol,13,ncontrol,ncontrol,ncontrol
negoro13D04,negoro,ncontrol,libB,ncontrol,13,ncontrol,ncontrol,ncontrol
negoro13E05,negoro,ncontrol,libB,ncontrol,13,ncontrol,ncontrol,ncontrol
negoro13F06,negoro,ncontrol,libB,ncontrol,13,ncontrol,ncontrol,ncontrol
negoro13G07,negoro,ncontrol,libB,ncontrol,13,ncontrol,ncontrol,ncontrol
negoro14B02,negoro,ncontrol,libB,ncontrol,14,ncontrol,ncontrol,ncontrol
negoro14C03,negoro,ncontrol,libB,ncontrol,14,ncontrol,ncontrol,ncontrol
negoro14D04,negoro,ncontrol,libB,ncontrol,14,ncontrol,ncontrol,ncontrol
negoro14E05,negoro,ncontrol,libB,ncontrol,14,ncontrol,ncontrol,ncontrol
negoro14F06,negoro,ncontrol,libB,ncontrol,14,ncontrol,ncontrol,ncontrol
negoro14G07,negoro,ncontrol,libB,ncontrol,14,ncontrol,ncontrol,ncontrol
negoro14H08,negoro,ncontrol,libB,ncontrol,14,ncontrol,ncontrol,ncontrol
negoro15A01,negoro,ncontrol,libB,ncontrol,15,ncontrol,ncontrol,ncontrol
negoro15B02,negoro,ncontrol,libB,ncontrol,15,ncontrol,ncontrol,ncontrol
negoro15C03,negoro,ncontrol,libB,ncontrol,15,ncontrol,ncontrol,ncontrol
