SeqID StudyID SampleType Library
oro160061 oro16 sample libB
oro160062 oro16 sample libB
oro160063 oro16 sample libB
oro160064 oro16 sample libB
oro160065 oro16 sample libB
oro160066 oro16 sample libB
oro160067 oro16 sample libB
oro160068 oro16 sample libB
oro160069 oro16 sample libB
oro160070 oro16 sample libB
oro160071 oro16 sample libB
oro160072 oro16 sample libB
oro160073 oro16 sample libB
oro160074 oro16 sample libB
oro160075 oro16 sample libB
oro160076 oro16 sample libB
oro160077 oro16 sample libB
oro160078 oro16 sample libB
oro160079 oro16 sample libB
oro160080 oro16 sample libB
oro160081 oro16 sample libB
oro160082 oro16 sample libB
oro160083 oro16 sample libB
oro160084 oro16 sample libB
oro160085 oro16 sample libB
oro160086 oro16 sample libB
oro160087 oro16 sample libB
oro160088 oro16 sample libB
oro160090 oro16 sample libB
oro160091 oro16 sample libB
oro160092 oro16 sample libB
oro160093 oro16 sample libB
oro160094 oro16 sample libB
oro160095 oro16 sample libB
oro160096 oro16 sample libB
bri160138 bri16 sample libD
bri160139 bri16 sample libD
bri160141 bri16 sample libC
bri160142 bri16 sample libD
bri160143 bri16 sample libD
bri160145 bri16 sample libD
bri160148 bri16 sample libD
bri160149 bri16 sample libD
bri160151 bri16 sample libD
bri160152 bri16 sample libD
bri160153 bri16 sample libD
bri160154 bri16 sample libD
bri160155 bri16 sample libD
bri160156 bri16 sample libD
bri160157 bri16 sample libD
bri160158 bri16 sample libD
bri160159 bri16 sample libD
bri160161 bri16 sample libD
bri160162 bri16 sample libD
bri160357 bri16 sample libC
oro160384 oro16 sample libB
oro160385 oro16 sample libB
oro160386 oro16 sample libB
oro160387 oro16 sample libB
oro160388 oro16 sample libB
oro160392 oro16 sample libB
oro160393 oro16 sample libB
oro160394 oro16 sample libB
oro160395 oro16 sample libB
oro160396 oro16 sample libB
oro160397 oro16 sample libB
oro160398 oro16 sample libB
oro160399 oro16 sample libB
oro160400 oro16 sample libB
oro160401 oro16 sample libB
oro160403 oro16 sample libB
oro160404 oro16 sample libB
oro160405 oro16 sample libB
bri160406 bri16 sample libD
oro160406 oro16 sample libB
bri160407 bri16 sample libD
oro160407 oro16 sample libB
bri160408 bri16 sample libD
oro160408 oro16 sample libB
bri160409 bri16 sample libD
oro160409 oro16 sample libB
bri160410 bri16 sample libD
oro160410 oro16 sample libB
bri160411 bri16 sample libD
oro160411 oro16 sample libB
oro160412 oro16 sample libB
bri160412 bri16 sample libD
oro160413 oro16 sample libB
oro160414 oro16 sample libB
oro160415 oro16 sample libB
oro160416 oro16 sample libB
oro160417 oro16 sample libB
oro160418 oro16 sample libB
oro160419 oro16 sample libB
oro160420 oro16 sample libB
oro160421 oro16 sample libB
oro160422 oro16 sample libB
oro160423 oro16 sample libB
oro160424 oro16 sample libB
oro160425 oro16 sample libB
oro160426 oro16 sample libB
oro160427 oro16 sample libB
oro160428 oro16 sample libB
oro160429 oro16 sample libB
oro160430 oro16 sample libB
oro160431 oro16 sample libB
oro160434 oro16 sample libB
oro160435 oro16 sample libB
oro160436 oro16 sample libB
oro160437 oro16 sample libB
oro160438 oro16 sample libB
oro160439 oro16 sample libB
oro160440 oro16 sample libB
oro160441 oro16 sample libB
oro160442 oro16 sample libB
oro160443 oro16 sample libB
oro160444 oro16 sample libB
oro160445 oro16 sample libB
oro160446 oro16 sample libB
oro160447 oro16 sample libB
oro160448 oro16 sample libB
oro160449 oro16 sample libB
oro160450 oro16 sample libB
oro160451 oro16 sample libB
oro160452 oro16 sample libB
oro160453 oro16 sample libB
oro160454 oro16 sample libB
oro160455 oro16 sample libB
oro160456 oro16 sample libB
oro160458 oro16 sample libB
oro160459 oro16 sample libB
oro160460 oro16 sample libB
oro160461 oro16 sample libB
oro160462 oro16 sample libB
oro160463 oro16 sample libB
oro160464 oro16 sample libB
oro160466 oro16 sample libB
oro160467 oro16 sample libB
oro160469 oro16 sample libB
oro160470 oro16 sample libB
oro160471 oro16 sample libB
oro160472 oro16 sample libB
oro160473 oro16 sample libB
oro160474 oro16 sample libB
oro160475 oro16 sample libB
oro160476 oro16 sample libB
oro160477 oro16 sample libB
oro160478 oro16 sample libB
oro160480 oro16 sample libB
oro160484 oro16 sample libB
oro160485 oro16 sample libB
oro160486 oro16 sample libB
oro160487 oro16 sample libB
oro160488 oro16 sample libB
oro160489 oro16 sample libB
oro160490 oro16 sample libB
oro160491 oro16 sample libB
oro160492 oro16 sample libB
oro160493 oro16 sample libB
oro160494 oro16 sample libB
oro160495 oro16 sample libB
oro160497 oro16 sample libB
oro160498 oro16 sample libB
oro160499 oro16 sample libB
oro160500 oro16 sample libB
oro160501 oro16 sample libB
oro160502 oro16 sample libB
oro160503 oro16 sample libB
oro160505 oro16 sample libB
oro160506 oro16 sample libB
oro160507 oro16 sample libB
oro160508 oro16 sample libB
oro160509 oro16 sample libB
oro160510 oro16 sample libB
oro160511 oro16 sample libB
oro160512 oro16 sample libB
oro160513 oro16 sample libB
oro160514 oro16 sample libB
oro160515 oro16 sample libB
oro160516 oro16 sample libB
oro160517 oro16 sample libB
oro160518 oro16 sample libB
oro160519 oro16 sample libB
oro160520 oro16 sample libB
oro160521 oro16 sample libB
oro160522 oro16 sample libB
oro160523 oro16 sample libB
oro160524 oro16 sample libB
oro160525 oro16 sample libB
oro160526 oro16 sample libB
oro160527 oro16 sample libB
oro160528 oro16 sample libB
oro160529 oro16 sample libB
oro160530 oro16 sample libB
oro160531 oro16 sample libB
oro160534 oro16 sample libB
oro160535 oro16 sample libB
oro160536 oro16 sample libB
oro160537 oro16 sample libB
oro160538 oro16 sample libB
oro160539 oro16 sample libB
oro160540 oro16 sample libB
oro160541 oro16 sample libB
oro160542 oro16 sample libB
oro160543 oro16 sample libB
oro160544 oro16 sample libB
oro160545 oro16 sample libB
oro160546 oro16 sample libB
oro160547 oro16 sample libB
oro160548 oro16 sample libB
oro160550 oro16 sample libB
oro160551 oro16 sample libB
oro160552 oro16 sample libB
oro160553 oro16 sample libB
oro160554 oro16 sample libB
oro160555 oro16 sample libB
oro160556 oro16 sample libB
oro160557 oro16 sample libB
oro160558 oro16 sample libB
oro160559 oro16 sample libB
oro160560 oro16 sample libB
oro160561 oro16 sample libB
oro160562 oro16 sample libB
oro160563 oro16 sample libB
oro160564 oro16 sample libB
oro160565 oro16 sample libB
oro160566 oro16 sample libB
oro160567 oro16 sample libB
bri160568 bri16 sample libD
oro160568 oro16 sample libB
oro160569 oro16 sample libB
bri160570 bri16 sample libD
oro160570 oro16 sample libB
bri160571 bri16 sample libD
oro160571 oro16 sample libB
oro160572 oro16 sample libB
bri160572 bri16 sample libD
oro160573 oro16 sample libB
bri160573 bri16 sample libD
oro160574 oro16 sample libB
oro160575 oro16 sample libB
bri160575 bri16 sample libD
oro160576 oro16 sample libB
bri160576 bri16 sample libD
oro160577 oro16 sample libB
bri160577 bri16 sample libD
