Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,Method,Filt,BetaType,TestGroup
3,3.23458154211649,1.07819384737216,2.44141521908061,0.0858401454454603,0.001,vsearch,extra,dice,MonthStart
78,34.4468730422263,0.44162657746444,NA,0.91415985455454,NA,vsearch,extra,dice,Residuals
81,37.6814545843428,NA,NA,1,NA,vsearch,extra,dice,Total
3,3.31069047385104,1.10356349128368,2.51362117757322,0.0881551017992151,0.001,vsearch,standard,dice,MonthStart
78,34.2446002158651,0.439033336100834,NA,0.911844898200785,NA,vsearch,standard,dice,Residuals
81,37.5552906897161,NA,NA,1,NA,vsearch,standard,dice,Total
3,7.04095497678289,2.34698499226096,5.39891535855646,0.0903852688755296,0.001,vsearch,basic,dice,MonthStart
163,70.8584092047748,0.434714166900459,NA,0.90961473112447,NA,vsearch,basic,dice,Residuals
166,77.8993641815577,NA,NA,1,NA,vsearch,basic,dice,Total
3,6.67705885204831,2.2256862840161,6.66081574993173,0.20393905041841,0.001,vsearch,extra,bray,MonthStart
78,26.0634037437585,0.334146201843057,NA,0.79606094958159,NA,vsearch,extra,bray,Residuals
81,32.7404625958068,NA,NA,1,NA,vsearch,extra,bray,Total
3,7.62909594837031,2.5430319827901,9.128808152641,0.259866720014374,0.001,vsearch,standard,bray,MonthStart
78,21.7286299964845,0.27857217944211,NA,0.740133279985626,NA,vsearch,standard,bray,Residuals
81,29.3577259448548,NA,NA,1,NA,vsearch,standard,bray,Total
3,16.1630112864849,5.38767042882828,18.5318567941437,0.254330727219985,0.001,vsearch,basic,bray,MonthStart
163,47.3881430044576,0.290724803708329,NA,0.745669272780015,NA,vsearch,basic,bray,Residuals
166,63.5511542909425,NA,NA,1,NA,vsearch,basic,bray,Total
3,2.96761735969953,0.989205786566511,2.19544321832839,0.0778651784732806,0.001,dada2,extra,dice,MonthStart
78,35.1446353556509,0.45057224814937,NA,0.922134821526719,NA,dada2,extra,dice,Residuals
81,38.1122527153504,NA,NA,1,NA,dada2,extra,dice,Total
3,3.01300749892706,1.00433583297569,2.23746457940403,0.0792374461634916,0.001,dada2,standard,dice,MonthStart
78,35.0120380421709,0.448872282591934,NA,0.920762553836509,NA,dada2,standard,dice,Residuals
81,38.0250455410979,NA,NA,1,NA,dada2,standard,dice,Total
3,5.7444933263377,1.91483110877923,4.24235189959068,0.0724251348101371,0.001,dada2,basic,dice,MonthStart
163,73.5718012362741,0.451360743780823,NA,0.927574865189863,NA,dada2,basic,dice,Residuals
166,79.3162945626118,NA,NA,1,NA,dada2,basic,dice,Total
3,5.65727263759522,1.88575754586507,5.20712431537282,0.166856909427177,0.001,dada2,extra,bray,MonthStart
78,28.2476621776111,0.362149515097578,NA,0.833143090572823,NA,dada2,extra,bray,Residuals
81,33.9049348152063,NA,NA,1,NA,dada2,extra,bray,Total
3,5.9124189861101,1.97080632870337,5.72308933616003,0.180407692186413,0.001,dada2,standard,bray,MonthStart
78,26.8601247699559,0.344360573973794,NA,0.819592307813587,NA,dada2,standard,bray,Residuals
81,32.772543756066,NA,NA,1,NA,dada2,standard,bray,Total
3,11.6768327234394,3.89227757447981,10.6113807427595,0.163390984065718,0.001,dada2,basic,bray,MonthStart
163,59.7887551130526,0.366802178607685,NA,0.836609015934282,NA,dada2,basic,bray,Residuals
166,71.465587836492,NA,NA,1,NA,dada2,basic,bray,Total
3,2.83621270247819,0.945404234159398,2.07999228460242,0.0740738196620865,0.001,deblur,extra,dice,MonthStart
78,35.4527902869257,0.454522952396483,NA,0.925926180337914,NA,deblur,extra,dice,Residuals
81,38.2890029894039,NA,NA,1,NA,deblur,extra,dice,Total
3,2.8686512030511,0.9562170676837,2.10935832757805,0.0750411412098497,0.001,deblur,standard,dice,MonthStart
78,35.3590617128416,0.45332130401079,NA,0.92495885879015,NA,deblur,standard,dice,Residuals
81,38.2277129158927,NA,NA,1,NA,deblur,standard,dice,Total
3,5.81283986428378,1.93761328809459,4.30567682034235,0.0734268332473285,0.001,deblur,basic,dice,MonthStart
163,73.3522229228312,0.450013637563381,NA,0.926573166752672,NA,deblur,basic,dice,Residuals
166,79.1650627871149,NA,NA,1,NA,deblur,basic,dice,Total
3,6.02210920472156,2.00736973490719,5.76861126526883,0.181582103702952,0.001,deblur,extra,bray,MonthStart
78,27.1425534019692,0.347981453871401,NA,0.818417896297048,NA,deblur,extra,bray,Residuals
81,33.1646626066908,NA,NA,1,NA,deblur,extra,bray,Total
3,6.65861986147679,2.2195399538256,7.05759738214176,0.213493960270518,0.001,deblur,standard,bray,MonthStart
78,24.5301774845448,0.314489454930062,NA,0.786506039729482,NA,deblur,standard,bray,Residuals
81,31.1887973460216,NA,NA,1,NA,deblur,standard,bray,Total
3,14.928766342349,4.97625544744968,15.4650286574605,0.221567214707708,0.001,deblur,basic,bray,MonthStart
163,52.4492812719748,0.321774731729907,NA,0.778432785292292,NA,deblur,basic,bray,Residuals
166,67.3780476143238,NA,NA,1,NA,deblur,basic,bray,Total
