Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,betatest,TestGroup
2,0.391141816704984,0.195570908352492,0.542996159795891,0.0012984128294384,1,dice,Method
2,1.13989367132604,0.569946835663022,1.58243854190749,0.00378392824248114,0.006,dice,Filt
3,43.3922275642998,14.4640758547666,40.1590283048591,0.144042448444964,0.001,dice,MonthStart
4,0.602173215876796,0.150543303969199,0.417978505222906,0.00199894103786998,1,dice,Method:Filt
710,255.72067578243,0.360169965890746,NA,0.848876269445246,NA,dice,Residuals
721,301.246112050637,NA,NA,1,NA,dice,Total
2,0.0970206994779226,0.0485103497389613,0.113814636673792,0.000292648944929003,1,bray,Method
2,0.548098128127732,0.274049064063866,0.642971960108766,0.00165325894141427,0.99,bray,Filt
3,28.1471741276016,9.38239137586721,22.0128997486488,0.0849018905810915,0.001,bray,MonthStart
4,0.115671328137935,0.0289178320344838,0.0678468113322038,0.000348905875965223,1,bray,Method:Filt
710,302.617917354328,0.426222418808913,NA,0.9128032956566,NA,bray,Residuals
721,331.525881637673,NA,NA,1,NA,bray,Total
2,0.058189146226958,0.029094573113479,0.0690963485951191,0.000176912483987002,1,morisita,Method
2,0.340329258879264,0.170164629439632,0.404121913336235,0.00103470317861259,1,morisita,Filt
3,29.4645320688665,9.82151068962217,23.3249865428142,0.0895810283499732,0.001,morisita,MonthStart
4,0.0903330744329764,0.0225832686082441,0.053632730546905,0.000274639681458617,1,morisita,Method:Filt
710,298.961483936204,0.421072512586203,NA,0.908932716305969,NA,morisita,Residuals
721,328.91486748461,NA,NA,1,NA,morisita,Total
