SeqID1,SeqID2,betadistance,Method,Filt,betatest,binaryval
mockIM4p4L1,mockIM4p4L2,0.106382978723404,vsearch,extra,dice,TRUE
mockIM4p4L1,mockIM4p7L1,0.148936170212766,vsearch,extra,dice,TRUE
mockIM4p4L1,mockIM4p7L2,0.130434782608696,vsearch,extra,dice,TRUE
mockIM4p4L2,mockIM4p7L1,0.166666666666667,vsearch,extra,dice,TRUE
mockIM4p4L2,mockIM4p7L2,0.148936170212766,vsearch,extra,dice,TRUE
mockIM4p7L1,mockIM4p7L2,0.234042553191489,vsearch,extra,dice,TRUE
mockIM4p4L2,mockIM4p4L1,0.106382978723404,vsearch,extra,dice,TRUE
mockIM4p7L1,mockIM4p4L1,0.148936170212766,vsearch,extra,dice,TRUE
mockIM4p7L2,mockIM4p4L1,0.130434782608696,vsearch,extra,dice,TRUE
mockIM4p7L1,mockIM4p4L2,0.166666666666667,vsearch,extra,dice,TRUE
mockIM4p7L2,mockIM4p4L2,0.148936170212766,vsearch,extra,dice,TRUE
mockIM4p7L2,mockIM4p7L1,0.234042553191489,vsearch,extra,dice,TRUE
mockIM4p4L1,mockIM4p4L2,0.142857142857143,vsearch,standard,dice,TRUE
mockIM4p4L1,mockIM4p7L1,0.2,vsearch,standard,dice,TRUE
mockIM4p4L1,mockIM4p7L2,0.166666666666667,vsearch,standard,dice,TRUE
mockIM4p4L2,mockIM4p7L1,0.245283018867925,vsearch,standard,dice,TRUE
mockIM4p4L2,mockIM4p7L2,0.215686274509804,vsearch,standard,dice,TRUE
mockIM4p7L1,mockIM4p7L2,0.307692307692308,vsearch,standard,dice,TRUE
mockIM4p4L2,mockIM4p4L1,0.142857142857143,vsearch,standard,dice,TRUE
mockIM4p7L1,mockIM4p4L1,0.2,vsearch,standard,dice,TRUE
mockIM4p7L2,mockIM4p4L1,0.166666666666667,vsearch,standard,dice,TRUE
mockIM4p7L1,mockIM4p4L2,0.245283018867925,vsearch,standard,dice,TRUE
mockIM4p7L2,mockIM4p4L2,0.215686274509804,vsearch,standard,dice,TRUE
mockIM4p7L2,mockIM4p7L1,0.307692307692308,vsearch,standard,dice,TRUE
mockIM4p4L1,mockIM4p4L2,0.275862068965517,vsearch,basic,dice,TRUE
mockIM4p4L1,mockIM4p7L1,0.354838709677419,vsearch,basic,dice,TRUE
mockIM4p4L1,mockIM4p7L2,0.354838709677419,vsearch,basic,dice,TRUE
mockIM4p4L2,mockIM4p7L1,0.375,vsearch,basic,dice,TRUE
mockIM4p4L2,mockIM4p7L2,0.375,vsearch,basic,dice,TRUE
mockIM4p7L1,mockIM4p7L2,0.470588235294118,vsearch,basic,dice,TRUE
mockIM4p4L2,mockIM4p4L1,0.275862068965517,vsearch,basic,dice,TRUE
mockIM4p7L1,mockIM4p4L1,0.354838709677419,vsearch,basic,dice,TRUE
mockIM4p7L2,mockIM4p4L1,0.354838709677419,vsearch,basic,dice,TRUE
mockIM4p7L1,mockIM4p4L2,0.375,vsearch,basic,dice,TRUE
mockIM4p7L2,mockIM4p4L2,0.375,vsearch,basic,dice,TRUE
mockIM4p7L2,mockIM4p7L1,0.470588235294118,vsearch,basic,dice,TRUE
mockIM4p4L1,mockIM4p4L2,0.1034,vsearch,extra,bray,FALSE
mockIM4p4L1,mockIM4p7L1,0.2204,vsearch,extra,bray,FALSE
mockIM4p4L1,mockIM4p7L2,0.2058,vsearch,extra,bray,FALSE
mockIM4p4L2,mockIM4p7L1,0.2194,vsearch,extra,bray,FALSE
mockIM4p4L2,mockIM4p7L2,0.2078,vsearch,extra,bray,FALSE
mockIM4p7L1,mockIM4p7L2,0.2796,vsearch,extra,bray,FALSE
mockIM4p4L2,mockIM4p4L1,0.1034,vsearch,extra,bray,FALSE
mockIM4p7L1,mockIM4p4L1,0.2204,vsearch,extra,bray,FALSE
mockIM4p7L2,mockIM4p4L1,0.2058,vsearch,extra,bray,FALSE
mockIM4p7L1,mockIM4p4L2,0.2194,vsearch,extra,bray,FALSE
mockIM4p7L2,mockIM4p4L2,0.2078,vsearch,extra,bray,FALSE
mockIM4p7L2,mockIM4p7L1,0.2796,vsearch,extra,bray,FALSE
mockIM4p4L1,mockIM4p4L2,0.1154,vsearch,standard,bray,FALSE
mockIM4p4L1,mockIM4p7L1,0.1972,vsearch,standard,bray,FALSE
mockIM4p4L1,mockIM4p7L2,0.2094,vsearch,standard,bray,FALSE
mockIM4p4L2,mockIM4p7L1,0.2192,vsearch,standard,bray,FALSE
mockIM4p4L2,mockIM4p7L2,0.2154,vsearch,standard,bray,FALSE
mockIM4p7L1,mockIM4p7L2,0.2836,vsearch,standard,bray,FALSE
mockIM4p4L2,mockIM4p4L1,0.1154,vsearch,standard,bray,FALSE
mockIM4p7L1,mockIM4p4L1,0.1972,vsearch,standard,bray,FALSE
mockIM4p7L2,mockIM4p4L1,0.2094,vsearch,standard,bray,FALSE
mockIM4p7L1,mockIM4p4L2,0.2192,vsearch,standard,bray,FALSE
mockIM4p7L2,mockIM4p4L2,0.2154,vsearch,standard,bray,FALSE
mockIM4p7L2,mockIM4p7L1,0.2836,vsearch,standard,bray,FALSE
mockIM4p4L1,mockIM4p4L2,0.1114,vsearch,basic,bray,FALSE
mockIM4p4L1,mockIM4p7L1,0.2244,vsearch,basic,bray,FALSE
mockIM4p4L1,mockIM4p7L2,0.2118,vsearch,basic,bray,FALSE
mockIM4p4L2,mockIM4p7L1,0.209,vsearch,basic,bray,FALSE
mockIM4p4L2,mockIM4p7L2,0.198,vsearch,basic,bray,FALSE
mockIM4p7L1,mockIM4p7L2,0.2806,vsearch,basic,bray,FALSE
mockIM4p4L2,mockIM4p4L1,0.1114,vsearch,basic,bray,FALSE
mockIM4p7L1,mockIM4p4L1,0.2244,vsearch,basic,bray,FALSE
mockIM4p7L2,mockIM4p4L1,0.2118,vsearch,basic,bray,FALSE
mockIM4p7L1,mockIM4p4L2,0.209,vsearch,basic,bray,FALSE
mockIM4p7L2,mockIM4p4L2,0.198,vsearch,basic,bray,FALSE
mockIM4p7L2,mockIM4p7L1,0.2806,vsearch,basic,bray,FALSE
mockIM4p4L1,mockIM4p4L2,0.0533982908415248,vsearch,extra,morisita,FALSE
mockIM4p4L1,mockIM4p7L1,0.269084023675548,vsearch,extra,morisita,FALSE
mockIM4p4L1,mockIM4p7L2,0.277220295025298,vsearch,extra,morisita,FALSE
mockIM4p4L2,mockIM4p7L1,0.267898610443203,vsearch,extra,morisita,FALSE
mockIM4p4L2,mockIM4p7L2,0.258727268527174,vsearch,extra,morisita,FALSE
mockIM4p7L1,mockIM4p7L2,0.316140203871002,vsearch,extra,morisita,FALSE
mockIM4p4L2,mockIM4p4L1,0.0533982908415248,vsearch,extra,morisita,FALSE
mockIM4p7L1,mockIM4p4L1,0.269084023675548,vsearch,extra,morisita,FALSE
mockIM4p7L2,mockIM4p4L1,0.277220295025298,vsearch,extra,morisita,FALSE
mockIM4p7L1,mockIM4p4L2,0.267898610443203,vsearch,extra,morisita,FALSE
mockIM4p7L2,mockIM4p4L2,0.258727268527174,vsearch,extra,morisita,FALSE
mockIM4p7L2,mockIM4p7L1,0.316140203871002,vsearch,extra,morisita,FALSE
mockIM4p4L1,mockIM4p4L2,0.0529023598444095,vsearch,standard,morisita,FALSE
mockIM4p4L1,mockIM4p7L1,0.259590926272857,vsearch,standard,morisita,FALSE
mockIM4p4L1,mockIM4p7L2,0.259072141313603,vsearch,standard,morisita,FALSE
mockIM4p4L2,mockIM4p7L1,0.269971185646605,vsearch,standard,morisita,FALSE
mockIM4p4L2,mockIM4p7L2,0.235335645279933,vsearch,standard,morisita,FALSE
mockIM4p7L1,mockIM4p7L2,0.301089353811493,vsearch,standard,morisita,FALSE
mockIM4p4L2,mockIM4p4L1,0.0529023598444095,vsearch,standard,morisita,FALSE
mockIM4p7L1,mockIM4p4L1,0.259590926272857,vsearch,standard,morisita,FALSE
mockIM4p7L2,mockIM4p4L1,0.259072141313603,vsearch,standard,morisita,FALSE
mockIM4p7L1,mockIM4p4L2,0.269971185646605,vsearch,standard,morisita,FALSE
mockIM4p7L2,mockIM4p4L2,0.235335645279933,vsearch,standard,morisita,FALSE
mockIM4p7L2,mockIM4p7L1,0.301089353811493,vsearch,standard,morisita,FALSE
mockIM4p4L1,mockIM4p4L2,0.0625746087609393,vsearch,basic,morisita,FALSE
mockIM4p4L1,mockIM4p7L1,0.264141646320371,vsearch,basic,morisita,FALSE
mockIM4p4L1,mockIM4p7L2,0.273436015938112,vsearch,basic,morisita,FALSE
mockIM4p4L2,mockIM4p7L1,0.258939887087401,vsearch,basic,morisita,FALSE
mockIM4p4L2,mockIM4p7L2,0.237077260845169,vsearch,basic,morisita,FALSE
mockIM4p7L1,mockIM4p7L2,0.308477416802734,vsearch,basic,morisita,FALSE
mockIM4p4L2,mockIM4p4L1,0.0625746087609393,vsearch,basic,morisita,FALSE
mockIM4p7L1,mockIM4p4L1,0.264141646320371,vsearch,basic,morisita,FALSE
mockIM4p7L2,mockIM4p4L1,0.273436015938112,vsearch,basic,morisita,FALSE
mockIM4p7L1,mockIM4p4L2,0.258939887087401,vsearch,basic,morisita,FALSE
mockIM4p7L2,mockIM4p4L2,0.237077260845169,vsearch,basic,morisita,FALSE
mockIM4p7L2,mockIM4p7L1,0.308477416802734,vsearch,basic,morisita,FALSE
mockIM4p4L1,mockIM4p4L2,0,dada2,extra,dice,TRUE
mockIM4p4L1,mockIM4p7L1,0,dada2,extra,dice,TRUE
mockIM4p4L1,mockIM4p7L2,0,dada2,extra,dice,TRUE
mockIM4p4L2,mockIM4p7L1,0,dada2,extra,dice,TRUE
mockIM4p4L2,mockIM4p7L2,0,dada2,extra,dice,TRUE
mockIM4p7L1,mockIM4p7L2,0,dada2,extra,dice,TRUE
mockIM4p4L2,mockIM4p4L1,0,dada2,extra,dice,TRUE
mockIM4p7L1,mockIM4p4L1,0,dada2,extra,dice,TRUE
mockIM4p7L2,mockIM4p4L1,0,dada2,extra,dice,TRUE
mockIM4p7L1,mockIM4p4L2,0,dada2,extra,dice,TRUE
mockIM4p7L2,mockIM4p4L2,0,dada2,extra,dice,TRUE
mockIM4p7L2,mockIM4p7L1,0,dada2,extra,dice,TRUE
mockIM4p4L1,mockIM4p4L2,0.0204081632653061,dada2,standard,dice,TRUE
mockIM4p4L1,mockIM4p7L1,0.04,dada2,standard,dice,TRUE
mockIM4p4L1,mockIM4p7L2,0.0204081632653061,dada2,standard,dice,TRUE
mockIM4p4L2,mockIM4p7L1,0.0204081632653061,dada2,standard,dice,TRUE
mockIM4p4L2,mockIM4p7L2,0,dada2,standard,dice,TRUE
mockIM4p7L1,mockIM4p7L2,0.0204081632653061,dada2,standard,dice,TRUE
mockIM4p4L2,mockIM4p4L1,0.0204081632653061,dada2,standard,dice,TRUE
mockIM4p7L1,mockIM4p4L1,0.04,dada2,standard,dice,TRUE
mockIM4p7L2,mockIM4p4L1,0.0204081632653061,dada2,standard,dice,TRUE
mockIM4p7L1,mockIM4p4L2,0.0204081632653061,dada2,standard,dice,TRUE
mockIM4p7L2,mockIM4p4L2,0,dada2,standard,dice,TRUE
mockIM4p7L2,mockIM4p7L1,0.0204081632653061,dada2,standard,dice,TRUE
mockIM4p4L1,mockIM4p4L2,0.04,dada2,basic,dice,TRUE
mockIM4p4L1,mockIM4p7L1,0.0769230769230769,dada2,basic,dice,TRUE
mockIM4p4L1,mockIM4p7L2,0.0769230769230769,dada2,basic,dice,TRUE
mockIM4p4L2,mockIM4p7L1,0.04,dada2,basic,dice,TRUE
mockIM4p4L2,mockIM4p7L2,0.04,dada2,basic,dice,TRUE
mockIM4p7L1,mockIM4p7L2,0.0769230769230769,dada2,basic,dice,TRUE
mockIM4p4L2,mockIM4p4L1,0.04,dada2,basic,dice,TRUE
mockIM4p7L1,mockIM4p4L1,0.0769230769230769,dada2,basic,dice,TRUE
mockIM4p7L2,mockIM4p4L1,0.0769230769230769,dada2,basic,dice,TRUE
mockIM4p7L1,mockIM4p4L2,0.04,dada2,basic,dice,TRUE
mockIM4p7L2,mockIM4p4L2,0.04,dada2,basic,dice,TRUE
mockIM4p7L2,mockIM4p7L1,0.0769230769230769,dada2,basic,dice,TRUE
mockIM4p4L1,mockIM4p4L2,0.0542,dada2,extra,bray,FALSE
mockIM4p4L1,mockIM4p7L1,0.0366,dada2,extra,bray,FALSE
mockIM4p4L1,mockIM4p7L2,0.0338,dada2,extra,bray,FALSE
mockIM4p4L2,mockIM4p7L1,0.0522,dada2,extra,bray,FALSE
mockIM4p4L2,mockIM4p7L2,0.056,dada2,extra,bray,FALSE
mockIM4p7L1,mockIM4p7L2,0.0416,dada2,extra,bray,FALSE
mockIM4p4L2,mockIM4p4L1,0.0542,dada2,extra,bray,FALSE
mockIM4p7L1,mockIM4p4L1,0.0366,dada2,extra,bray,FALSE
mockIM4p7L2,mockIM4p4L1,0.0338,dada2,extra,bray,FALSE
mockIM4p7L1,mockIM4p4L2,0.0522,dada2,extra,bray,FALSE
mockIM4p7L2,mockIM4p4L2,0.056,dada2,extra,bray,FALSE
mockIM4p7L2,mockIM4p7L1,0.0416,dada2,extra,bray,FALSE
mockIM4p4L1,mockIM4p4L2,0.0504,dada2,standard,bray,FALSE
mockIM4p4L1,mockIM4p7L1,0.0366,dada2,standard,bray,FALSE
mockIM4p4L1,mockIM4p7L2,0.0442,dada2,standard,bray,FALSE
mockIM4p4L2,mockIM4p7L1,0.0528,dada2,standard,bray,FALSE
mockIM4p4L2,mockIM4p7L2,0.0502,dada2,standard,bray,FALSE
mockIM4p7L1,mockIM4p7L2,0.0382,dada2,standard,bray,FALSE
mockIM4p4L2,mockIM4p4L1,0.0504,dada2,standard,bray,FALSE
mockIM4p7L1,mockIM4p4L1,0.0366,dada2,standard,bray,FALSE
mockIM4p7L2,mockIM4p4L1,0.0442,dada2,standard,bray,FALSE
mockIM4p7L1,mockIM4p4L2,0.0528,dada2,standard,bray,FALSE
mockIM4p7L2,mockIM4p4L2,0.0502,dada2,standard,bray,FALSE
mockIM4p7L2,mockIM4p7L1,0.0382,dada2,standard,bray,FALSE
mockIM4p4L1,mockIM4p4L2,0.0406,dada2,basic,bray,FALSE
mockIM4p4L1,mockIM4p7L1,0.0436,dada2,basic,bray,FALSE
mockIM4p4L1,mockIM4p7L2,0.0426,dada2,basic,bray,FALSE
mockIM4p4L2,mockIM4p7L1,0.0548,dada2,basic,bray,FALSE
mockIM4p4L2,mockIM4p7L2,0.0634,dada2,basic,bray,FALSE
mockIM4p7L1,mockIM4p7L2,0.0418,dada2,basic,bray,FALSE
