IMalias blast bold Expected nbayes sintax vsearch
MockIM10 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM15 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM16 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM20 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM21 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM23 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM27 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM28 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM29 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM3 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM32 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM33 Insecta NA Insecta Insecta Insecta Insecta
MockIM39 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM4 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM40 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM42 Arachnida Arachnida Arachnida Arachnida Arachnida Arachnida
MockIM44 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM46 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM47 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM49 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM5 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM52 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM53 Insecta Insecta Insecta Insecta Insecta Insecta
MockIM7 Insecta Insecta Insecta Insecta Insecta Insecta
