IMalias blast bold Expected nbayes sintax vsearch
MockIM10 Tortricidae NA Tortricidae Tortricidae Tortricidae Tortricidae
MockIM15 Bombyliidae Bombyliidae Bombyliidae Bombyliidae Bombyliidae Bombyliidae
MockIM16 Crambidae Crambidae Crambidae Crambidae NA Crambidae
MockIM20 Geometridae NA Geometridae Geometridae Geometridae Geometridae
MockIM21 Coccinellidae Coccinellidae Coccinellidae Coccinellidae Coccinellidae Coccinellidae
MockIM23 Coccinellidae Coccinellidae Coccinellidae Coccinellidae Coccinellidae Coccinellidae
MockIM27 Hydrophilidae NA Hydrophilidae Hydrophilidae Hydrophilidae Hydrophilidae
MockIM28 Erebidae Erebidae Erebidae Erebidae Erebidae Erebidae
MockIM29 Erebidae Erebidae Erebidae Erebidae NA Erebidae
MockIM3 Culicidae Culicidae Culicidae Culicidae Culicidae Culicidae
MockIM32 Heptageniidae Heptageniidae Heptageniidae Heptageniidae Heptageniidae Heptageniidae
MockIM33 Mantispidae NA NA Mantispidae Mantispidae Mantispidae
MockIM39 Chrysomelidae Chrysomelidae Chrysomelidae Chrysomelidae Chrysomelidae Chrysomelidae
MockIM4 NA Noctuidae Noctuidae Noctuidae NA NA
MockIM40 Blattidae Blattidae Blattidae Blattidae Blattidae Blattidae
MockIM42 Phalangiidae Phalangiidae Phalangiidae Phalangiidae Phalangiidae Phalangiidae
MockIM44 Chironomidae Chironomidae Chironomidae Chironomidae Chironomidae Chironomidae
MockIM46 Scarabaeidae Scarabaeidae NA Scarabaeidae Scarabaeidae Scarabaeidae
MockIM47 Tettigoniidae Tettigoniidae Tettigoniidae Tettigoniidae Tettigoniidae Tettigoniidae
MockIM49 Ectobiidae Ectobiidae Ectobiidae Ectobiidae Ectobiidae Ectobiidae
MockIM5 Aphididae Aphididae Aphididae Aphididae Aphididae Aphididae
MockIM52 Tettigoniidae NA Tettigoniidae Tettigoniidae Tettigoniidae Tettigoniidae
MockIM53 Crambidae Crambidae Crambidae Crambidae NA Crambidae
MockIM7 Leptoceridae NA Leptoceridae Leptoceridae Leptoceridae Leptoceridae
