IMalias blast bold Expected nbayes sintax vsearch
MockIM10 Choristoneura NA Choristoneura Choristoneura Choristoneura Choristoneura
MockIM15 Lepidophora Lepidophora Lepidophora Lepidophora Lepidophora Lepidophora
MockIM16 Elophila Elophila Elophila Elophila NA Elophila
MockIM20 Haematopis NA Haematopis Haematopis Haematopis Haematopis
MockIM21 Harmonia Harmonia Harmonia Harmonia Harmonia Harmonia
MockIM23 Harmonia Harmonia Harmonia Harmonia Harmonia Harmonia
MockIM27 Cercyon NA NA Cercyon Cercyon Cercyon
MockIM28 Hyphantria Hyphantria Hyphantria Hyphantria Hyphantria Hyphantria
MockIM29 Hypena Hypena Hypena Hypena NA Hypena
MockIM3 NA Aedes Aedes Aedes NA NA
MockIM32 Leucrocuta Leucrocuta Leucrocuta Leucrocuta Leucrocuta Leucrocuta
MockIM33 Dicromantispa NA NA Dicromantispa Dicromantispa Dicromantispa
MockIM39 Paria Paria Paria NA NA Paria
MockIM4 NA Agrotis Agrotis Agrotis NA NA
MockIM40 Periplaneta Periplaneta Periplaneta Periplaneta Periplaneta Periplaneta
MockIM42 Phalangium Phalangium Phalangium Phalangium NA Phalangium
MockIM44 Procladius Procladius Procladius Procladius Procladius Procladius
MockIM46 Euphoria Euphoria NA Euphoria NA Euphoria
MockIM47 Scudderia Scudderia Scudderia Scudderia Scudderia Scudderia
MockIM49 Supella Supella Supella Supella Supella Supella
MockIM5 Aphis Aphis Aphis Aphis NA Aphis
MockIM52 Conocephalus NA NA Conocephalus Conocephalus Conocephalus
MockIM53 NA Udea Udea NA NA NA
MockIM7 Ceraclea NA Ceraclea Ceraclea Ceraclea Ceraclea
