IMalias blast bold Expected nbayes sintax vsearch
MockIM10 Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera
MockIM15 Diptera Diptera Diptera Diptera Diptera Diptera
MockIM16 Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera
MockIM20 Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera
MockIM21 Coleoptera Coleoptera Coleoptera Coleoptera Coleoptera Coleoptera
MockIM23 Coleoptera Coleoptera Coleoptera Coleoptera Coleoptera Coleoptera
MockIM27 Coleoptera NA Coleoptera Coleoptera Coleoptera Coleoptera
MockIM28 Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera
MockIM29 Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera
MockIM3 Diptera Diptera Diptera Diptera Diptera Diptera
MockIM32 Ephemeroptera Ephemeroptera Ephemeroptera Ephemeroptera Ephemeroptera Ephemeroptera
MockIM33 Neuroptera NA Neuroptera Neuroptera Neuroptera Neuroptera
MockIM39 Coleoptera Coleoptera Coleoptera Coleoptera Coleoptera Coleoptera
MockIM4 Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera
MockIM40 Blattodea Blattodea Blattodea Blattodea Blattodea Blattodea
MockIM42 Opiliones Opiliones Opiliones Opiliones Opiliones Opiliones
MockIM44 Diptera Diptera Diptera Diptera Diptera Diptera
MockIM46 Coleoptera Coleoptera Coleoptera Coleoptera Coleoptera Coleoptera
MockIM47 Orthoptera Orthoptera Orthoptera Orthoptera Orthoptera Orthoptera
MockIM49 Blattodea Blattodea Blattodea Blattodea Blattodea Blattodea
MockIM5 Hemiptera Hemiptera Hemiptera Hemiptera Hemiptera Hemiptera
MockIM52 Orthoptera NA Orthoptera Orthoptera Orthoptera Orthoptera
MockIM53 Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera Lepidoptera
MockIM7 Trichoptera NA Trichoptera Trichoptera Trichoptera Trichoptera
