"institution_storing","nRecords","pRecords","RecordType","FilterType","cumFrac"
"Centre for Biodiversity Genomics",1989893,0.626727293457056,"raw","Any location",0.626727293457056
"Mined from GenBank, NCBI",282946,0.0891153347313148,"raw","Any location",0.715842628188371
"SNSB, Zoologische Staatssammlung Muenchen",78583,0.0247501302340055,"raw","Any location",0.740592758422376
"University of Pennsylvania",67984,0.0214119192933412,"raw","Any location",0.762004677715718
"Area de Conservacion Guanacaste",55129,0.0173631692563339,"raw","Any location",0.779367846972051
"Canadian National Collection of Insects, Arachnids and Nematodes",45121,0.0142110968821318,"raw","Any location",0.793578943854183
"Zoologisches Forschungsmuseum Alexander Koenig",35601,0.011212722681252,"raw","Any location",0.804791666535435
"Australian National Insect Collection",35431,0.0111591802848078,"raw","Any location",0.815950846820243
"Instituto Nacional de Biodiversidad, Costa Rica",29405,0.0092612598084946,"raw","Any location",0.825212106628738
"Smithsonian Institution National Museum of Natural History",23092,0.00727294716877256,"raw","Any location",0.83248505379751
"Research Collection of D. H. Janzen & W. Hallwachs",22600,0.00711798917435735,"raw","Any location",0.839603042971867
"University of Helsinki",22593,0.00711578448744494,"raw","Any location",0.846718827459312
"California Academy of Sciences",18383,0.00578982278726598,"raw","Any location",0.852508650246578
"NTNU University Museum, Department of Natural History",17762,0.00559423556260775,"raw","Any location",0.858102885809186
"University of Oulu",16387,0.00516117206195548,"raw","Any location",0.863264057871142
"Research Collection of M. Alex Smith",14005,0.00441094860118914,"raw","Any location",0.867675006472331
"Museo Argentino de Ciencias Naturales, Bernardino Rivadavia",13365,0.00420937722634009,"raw","Any location",0.871884383698671
"Tiroler Landesmuseen",11511,0.00362545014982422,"raw","Any location",0.875509833848495
"National Institute for Biotechnology and Genetic Engineering",11437,0.0036021434596073,"raw","Any location",0.879111977308102
"Royal British Columbia Museum",9462,0.00298010679503404,"raw","Any location",0.882092084103136
"University of Guelph",9099,0.00286577803086184,"raw","Any location",0.884957862133998
"Natural History Museum, London",7917,0.00249350089793748,"raw","Any location",0.887451363031936
"Smithsonian Institution",7620,0.00239995918179659,"raw","Any location",0.889851322213732
"Stroud Water Research Center",7491,0.00235932995155358,"raw","Any location",0.892210652165286
"Institut de Biologia Evolutiva (CSIC-UPF), Butterfly Diversity and Evolution Lab",7445,0.0023448420089863,"raw","Any location",0.894555494174272
"Biodiversity Institute of Ontario",6716,0.0021152396148223,"raw","Any location",0.896670733789095
"Naturalis Biodiversity Centre",6333,0.00199461174518607,"raw","Any location",0.898665345534281
"Museum National d'Histoire Naturelle, Paris",6305,0.00198579299753642,"raw","Any location",0.900651138531817
"Museum Zoologicum Bogoriense, Bogor",5977,0.00188248766792628,"raw","Any location",0.902533626199743
"York University, Packer Collection",5690,0.0017920955045174,"raw","Any location",0.904325721704261
"Museum National d'Histoire Naturelle de Paris, Provisional Research Collection",5433,0.00171115199930458,"raw","Any location",0.906036873703565
"National Ecological Observatory Network, United States",5406,0.00170264820692813,"raw","Any location",0.907739521910493
"Research Collection of Daniel Handfield",5225,0.00164564130247864,"raw","Any location",0.909385163212972
"El Colegio de la Frontera Sur",5149,0.00162170470171531,"raw","Any location",0.911006867914687
"Research Collection of Gunnar Brehm",4743,0.00149383286079544,"raw","Any location",0.912500700775483
"University of Oslo, Natural History Museum",4700,0.00148028978404777,"raw","Any location",0.913980990559531
"University of Rouen, ECODIV Laboratory",4602,0.00144942416727401,"raw","Any location",0.915430414726805
"Colorado State University",4103,0.00129226148594638,"raw","Any location",0.916722676212751
"Canadian Forest Service, Pacific Forestry Centre",3944,0.00124218359750732,"raw","Any location",0.917964859810258
"Smithsonian Tropical Research Institute",3880,0.00122202646002241,"raw","Any location",0.919186886270281
"University of Alaska Museum",3737,0.00117698785595458,"raw","Any location",0.920363874126235
"Research Collection of Beverly Mcclenaghan",3693,0.0011631298239337,"raw","Any location",0.921527003950169
"Research Collection of Jean Haxaire",3360,0.00105824971795755,"raw","Any location",0.922585253668127
"University of KwaZulu-Natal",3188,0.00100407741096687,"raw","Any location",0.923589331079093
"El Colegio de la Frontera Sur, Unidad Chetumal",3084,0.000971322062553897,"raw","Any location",0.924560653141647
"Chinese Academy of Sciences, Kunming Institute of Zoology",3047,0.000959668717445436,"raw","Any location",0.925520321859093
"Universite Claude Bernard Lyon 1",3019,0.000950849969795789,"raw","Any location",0.926471171828888
"Senckenberg Deutsches Entomologisches Institut",2981,0.000938881669414126,"raw","Any location",0.927410053498303
"Chinese Academy of Sciences, Institute of Zoology",2960,0.000932267608676892,"raw","Any location",0.92834232110698
"Research Collection of J. B. Sullivan",2888,0.000909590829006373,"raw","Any location",0.929251911935986
"Research Collection of Thierry Bouyer",2884,0.000908331007913566,"raw","Any location",0.9301602429439
"University of Minnesota Insect Collection",2866,0.000902661812995936,"raw","Any location",0.931062904756895
"Research Collection of Graeme V. Cocks",2833,0.000892268288980282,"raw","Any location",0.931955173045876
"Research Collection of Daniel Herbin",2831,0.000891638378433879,"raw","Any location",0.93284681142431
"United States Environmental Protection Agency",2668,0.000840300668902009,"raw","Any location",0.933687112093212
"University of Manitoba, Wallis Roughley Museum of Entomology",2587,0.000814789291772675,"raw","Any location",0.934501901384984
"Research Collection of Jeremy deWaard",2563,0.000807230365215836,"raw","Any location",0.9353091317502
"Research Collection of Ron Brechlin",2494,0.000785498451364922,"raw","Any location",0.936094630201565
"University of Turku, Zoological Museum",2465,0.000776364748442074,"raw","Any location",0.936870994950007
"University of Maryland",2420,0.000762191761147999,"raw","Any location",0.937633186711155
"BioFokus",2295,0.000722822351997793,"raw","Any location",0.938356009063153
"University of Utah",2183,0.000687547361399208,"raw","Any location",0.939043556424552
"Universite du Quebec a Rimouski",2165,0.000681878166481578,"raw","Any location",0.939725434591034
"Research Collection of Robert J. Borth",2136,0.00067274446355873,"raw","Any location",0.940398179054592
"Landcare Research, New Zealand Arthropod Collection",2057,0.000647862996975799,"raw","Any location",0.941046042051568
"Deutsches Zentrum fuer Marine Biodiversitaetsforschung",2026,0.000638099383506548,"raw","Any location",0.941684141435075
"Universidad Nacional Autonoma de Mexico, Instituto de Biologia",2021,0.00063652460714054,"raw","Any location",0.942320666042215
"Institut National de la Recherche Agronomique, Zoologie Forestiere",1985,0.00062518621730528,"raw","Any location",0.942945852259521
"Academy of Sciences of the Czech Republic, Biology Centre",1867,0.000588021495067485,"raw","Any location",0.943533873754588
"Institute of Biodiversity and Ecosystem Research, Sofia",1851,0.000582982210696259,"raw","Any location",0.944116855965284
"Research Collection of Norbert G. Kondla",1850,0.000582667255423057,"raw","Any location",0.944699523220707
NA,1812,0.000570698955041395,"raw","Any location",0.945270222175749
"University of Waikato",1801,0.000567234447036176,"raw","Any location",0.945837456622785
"Research Collection of Frank Meister",1758,0.000553691370288505,"raw","Any location",0.946391147993073
"University of Bergen, Natural History Collections",1700,0.00053542396444281,"raw","Any location",0.946926571957516
"Chinese Academy of Sciences",1663,0.000523770619334348,"raw","Any location",0.947450342576851
"University of New Brunswick, Saint John",1569,0.000494164823653393,"raw","Any location",0.947944507400504
"Research Collection of Patrick Basquin",1553,0.000489125539282167,"raw","Any location",0.948433632939786
