Level,Missing,Present,Database,pPresent
Class,23,1565808,Palmer,0.999985311313929
Order,162,1565669,Palmer,0.999896540558975
Family,369526,1196305,Palmer,0.764006460467317
Genus,703221,862610,Palmer,0.550895977918434
Species,1013969,551862,Palmer,0.35244033359922
Class,6,515774,Porter,0.999988367133274
Order,44,515736,Porter,0.999914692310675
Family,395,515385,Porter,0.999234169607197
Genus,2124,513656,Porter,0.995881965178952
Species,11506,504274,Porter,0.977692039241537
Class,641,1841305,tidybug,0.999651998484212
Order,1688,1840258,tidybug,0.999083577911622
Family,5094,1836852,tidybug,0.997234446612441
Genus,530730,1311216,tidybug,0.71186451720083
Species,895637,946309,tidybug,0.513755017790967
