Comparison,Z,P.unadj,P.adj
dada2-basic - vsearch-extra,8.2864323311228,1.16696038773395e-16,4.20105739584224e-15
dada2-standard - vsearch-extra,7.17483859464639,7.23925419838635e-13,1.30306575570954e-11
dada2-basic - vsearch-standard,6.92331082468822,4.41208217222334e-12,5.29449860666801e-11
dada2-basic - vsearch-basic,6.66580179702691,2.63224299053513e-11,2.36901869148162e-10
dada2-basic - deblur-extra,6.5604705908574,5.3638232958493e-11,3.86195277301149e-10
dada2-extra - vsearch-extra,6.17652377834575,6.55283444414372e-10,3.93170066648623e-09
dada2-basic - deblur-standard,5.97416053538185,2.31277973594458e-09,1.18942957848579e-08
dada2-standard - vsearch-standard,5.81340500476708,6.12147162633456e-09,2.75466223185055e-08
dada2-standard - vsearch-basic,5.55656258525634,2.75139096863866e-08,1.10055638745546e-07
dada2-standard - deblur-extra,5.48672379085294,4.09456601031534e-08,1.47404376371352e-07
dada2-basic - deblur-basic,5.14951788934103,2.61156865756906e-07,8.54695197022601e-07
dada2-standard - deblur-standard,4.90091621639605,9.53907339377259e-07,2.86172201813178e-06
dada2-extra - vsearch-standard,4.81499154871684,1.47206120071471e-06,4.07647717120997e-06
dada2-extra - vsearch-basic,4.55843533817175,5.15361263363943e-06,1.32521467722157e-05
dada2-extra - deblur-extra,4.51986020544209,6.18804786033978e-06,1.48513148648155e-05
dada2-standard - deblur-basic,4.07476295054464,4.60612416901257e-05,0.000103637793802783
dada2-extra - deblur-standard,3.93384505602711,8.35976841520761e-05,0.000177030389969102
dada2-extra - deblur-basic,3.10542440688309,0.00190006180611755,0.00380012361223509
deblur-basic - vsearch-extra,2.94755582434369,0.00320296915351036,0.00606878365928279
deblur-standard - vsearch-extra,2.09071005479324,0.0365540631146227,0.0657973136063209
dada2-basic - dada2-extra,2.0630580640973,0.0391071118545588,0.0670407631792437
vsearch-basic - vsearch-extra,1.64628758041238,0.0997045652340045,0.163152924928371
deblur-basic - vsearch-standard,1.6004740253244,0.109493464701948,0.171381075185658
deblur-extra - vsearch-extra,1.49332256341888,0.135352772070043,0.203029158105065
vsearch-extra - vsearch-standard,-1.38680549423718,0.165501081309389,0.229155343351461
deblur-basic - deblur-extra,1.40750075470957,0.159278953616035,0.229361693207091
deblur-basic - vsearch-basic,1.34761669945103,0.177781696659246,0.237042262212328
dada2-basic - dada2-standard,1.08155689670259,0.27944946600624,0.359292170579451
dada2-extra - dada2-standard,-0.98017638512463,0.326999059134988,0.405929866512399
deblur-basic - deblur-standard,0.826876436074919,0.408307100596164,0.489968520715396
deblur-standard - vsearch-standard,0.746643239184397,0.455278940628618,0.528711027826782
deblur-extra - deblur-standard,-0.579524173449468,0.562235540406152,0.632514982956921
deblur-standard - vsearch-basic,0.494600805448705,0.620881933533761,0.677325745673193
vsearch-basic - vsearch-standard,0.259896920308349,0.794943286907383,0.841704656725464
deblur-extra - vsearch-standard,0.149487969831578,0.881168601392133,0.906344847146194
deblur-extra - vsearch-basic,-0.102341193441,0.918485859302651,0.918485859302651
