Comparison,Z,P.unadj,P.adj
deblur-basic - vsearch-extra,3.92626292300204,8.62758466100583e-05,0.0031059304779621
deblur-basic - vsearch-standard,3.69135830367713,0.000223059650467396,0.00401507370841313
deblur-basic - vsearch-basic,3.15443345950591,0.00160810044692693,0.0144729040223423
dada2-basic - vsearch-extra,3.22154906502732,0.00127499629573188,0.0152999555487825
dada2-standard - vsearch-extra,2.95308664294171,0.00314613645213531,0.0188768187128119
dada2-basic - vsearch-standard,2.98664444570241,0.0028205755513182,0.020308143969491
dada2-extra - vsearch-extra,2.7181820236168,0.00656417154608344,0.0295387719573755
dada2-standard - vsearch-standard,2.7181820236168,0.00656417154608344,0.0337585965227149
dada2-basic - vsearch-basic,2.44971960153119,0.0142967500200774,0.0514683000722787
dada2-extra - vsearch-standard,2.48327740429189,0.0130179666558052,0.0520718666232208
dada2-standard - vsearch-basic,2.18125717944558,0.029164399701881,0.0954471262970653
deblur-basic - deblur-extra,2.11414157392418,0.0345031772667328,0.103509531800198
deblur-basic - deblur-standard,2.04702596840277,0.0406555348876593,0.112584558150441
dada2-extra - vsearch-basic,1.94635256012067,0.0516124039934736,0.132717610268932
deblur-standard - vsearch-extra,1.87923695459927,0.0602121458078739,0.144509149938897
deblur-extra - vsearch-extra,1.81212134907787,0.0699674482984456,0.157426758671503
deblur-standard - vsearch-standard,1.64433233527436,0.100107573609836,0.21199250882083
deblur-extra - vsearch-standard,1.57721672975296,0.114745664808852,0.229491329617703
dada2-basic - deblur-extra,1.40942771594945,0.158708733415792,0.300711284366763
dada2-basic - deblur-standard,1.34231211042805,0.179494818373031,0.323090673071455
dada2-extra - deblur-basic,-1.20808089938524,0.227016145978134,0.389170535962516
dada2-standard - deblur-extra,1.14096529386384,0.253884365917335,0.415447144228366
deblur-standard - vsearch-basic,1.10740749110314,0.2681177885861,0.419662625613027
dada2-standard - deblur-standard,1.07384968834244,0.282890055754668,0.424335083632002
deblur-extra - vsearch-basic,1.04029188558174,0.298204312951769,0.429414210650548
dada2-standard - deblur-basic,-0.973176280060335,0.330465697598868,0.457567888983048
dada2-extra - deblur-extra,0.906060674538933,0.364903738593082,0.48653831812411
dada2-extra - deblur-standard,0.83894506901753,0.401500135302772,0.516214459674993
vsearch-basic - vsearch-extra,0.771829463496128,0.440215438742996,0.546474337749926
dada2-basic - deblur-basic,-0.704713857974726,0.480988325493406,0.577185990592088
vsearch-basic - vsearch-standard,0.536924844171219,0.591319529065906,0.686693646657181
dada2-basic - dada2-extra,0.503367041410518,0.614706239414349,0.691544519341143
dada2-extra - dada2-standard,-0.234904619324909,0.814282764177755,0.837547986011405
dada2-basic - dada2-standard,0.26846242208561,0.788343396334305,0.860010977819241
vsearch-extra - vsearch-standard,-0.234904619324909,0.814282764177755,0.862181750305858
deblur-extra - deblur-standard,-0.0671156055214024,0.946489670498011,0.946489670498011
