intersections,AlignType,Filt,Method,IntType
22,exact,basic,da,Method
22,exact,basic,db,Method
16,exact,basic,vs,Method
19,exact,basic,libA,Library
21,exact,basic,libB,Library
18,exact,basic,libC,Library
19,exact,basic,libD,Library
22,exact,extra,da,Method
22,exact,extra,db,Method
16,exact,extra,vs,Method
19,exact,extra,libA,Library
21,exact,extra,libB,Library
18,exact,extra,libC,Library
19,exact,extra,libD,Library
22,exact,standard,da,Method
22,exact,standard,db,Method
16,exact,standard,vs,Method
19,exact,standard,libA,Library
21,exact,standard,libB,Library
18,exact,standard,libC,Library
19,exact,standard,libD,Library
0,miss,basic,da,Method
0,miss,basic,db,Method
3,miss,basic,vs,Method
0,miss,basic,libA,Library
1,miss,basic,libB,Library
3,miss,basic,libC,Library
3,miss,basic,libD,Library
0,miss,extra,da,Method
0,miss,extra,db,Method
0,miss,extra,vs,Method
0,miss,extra,libA,Library
0,miss,extra,libB,Library
0,miss,extra,libC,Library
0,miss,extra,libD,Library
0,miss,standard,da,Method
0,miss,standard,db,Method
3,miss,standard,vs,Method
0,miss,standard,libA,Library
1,miss,standard,libB,Library
3,miss,standard,libC,Library
3,miss,standard,libD,Library
2,partial,basic,da,Method
2,partial,basic,db,Method
2,partial,basic,vs,Method
2,partial,basic,libA,Library
2,partial,basic,libB,Library
2,partial,basic,libC,Library
2,partial,basic,libD,Library
2,partial,extra,da,Method
2,partial,extra,db,Method
2,partial,extra,vs,Method
2,partial,extra,libA,Library
2,partial,extra,libB,Library
2,partial,extra,libC,Library
2,partial,extra,libD,Library
2,partial,standard,da,Method
2,partial,standard,db,Method
2,partial,standard,vs,Method
2,partial,standard,libA,Library
2,partial,standard,libB,Library
2,partial,standard,libC,Library
2,partial,standard,libD,Library
