Method Filt Rare val qval
dada2 basic unrarefied 0 0
dada2 basic rarefied 0 0
dada2 standard unrarefied 0.2566 0.2566
dada2 standard rarefied 0.1989 0.2106
dada2 extra unrarefied 0.1421 0.186171428571429
dada2 extra rarefied 0.0069 0.015525
deblur basic unrarefied 0 0
deblur basic rarefied 0.0167 0.0334
deblur standard unrarefied 0.1664 0.19968
deblur standard rarefied 0.0576 0.0864
deblur extra unrarefied 0.1448 0.186171428571429
deblur extra rarefied 0.0046 0.0118285714285714
vsearch basic unrarefied 0 0
vsearch basic rarefied 0 0
vsearch standard unrarefied 0.0453 0.0741272727272727
vsearch standard rarefied 1e-04 3e-04
vsearch extra unrarefied 0.1945 0.2106
vsearch extra rarefied 0.0192 0.03456
