Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,betatest,TestGroup
2,0.227302104544203,0.113651052272102,0.727600151363909,0.0427423818415284,0.83,dice,Method
2,0.32052976905546,0.16026488452773,1.02602441340809,0.060273114531947,0.379,dice,Filt
4,0.55272748369846,0.138181870924615,0.884647772198219,0.103936077538395,0.643,dice,Method:Filt
27,4.2173966093803,0.156199874421493,NA,0.793048426088129,NA,dice,Residuals
35,5.31795596667842,NA,NA,1,NA,dice,Total
2,0.134628810005495,0.0673144050027473,0.587834701829616,0.0324059240975708,0.646,bray,Method
2,0.6985794012143,0.34928970060715,3.05023281421235,0.168152054905285,0.036,bray,Filt
4,0.229405612176766,0.0573514030441916,0.500831061443929,0.0552192421180403,0.836,bray,Method:Filt
27,3.09183675175573,0.114512472287249,NA,0.744222778879104,NA,bray,Residuals
35,4.15445057515229,NA,NA,1,NA,bray,Total
2,0.0145282553747403,0.00726412768737013,1.13311422678449,0.0579900655733508,0.353,morisita,Method
2,0.0391522990919532,0.0195761495459766,3.05363761636155,0.156277841566397,0.036,morisita,Filt
4,0.023758895662703,0.00593972391567574,0.92652359122571,0.0948345057195264,0.477,morisita,Method:Filt
27,0.173090623101227,0.00641076381856397,NA,0.690897587140726,NA,morisita,Residuals
35,0.250530073230624,NA,NA,1,NA,morisita,Total
