SeqID1,SeqID2,betadistance,Method,Filt,BetaType,RareType,LegendLabel
libA,libB,0.0015515960307898,dada2,basic,morisita,unrarefied,morisita - basic
libA,libC,0.0014000738695622,dada2,basic,morisita,unrarefied,morisita - basic
libA,libD,0.0012869387563158,dada2,basic,morisita,unrarefied,morisita - basic
libB,libC,0.00255775060375607,dada2,basic,morisita,unrarefied,morisita - basic
libB,libD,0.00317345468530161,dada2,basic,morisita,unrarefied,morisita - basic
libC,libD,0.00164819858197662,dada2,basic,morisita,unrarefied,morisita - basic
libA,libB,0.00146387620091537,dada2,standard,morisita,unrarefied,morisita - standard
libA,libC,0.00130822919206053,dada2,standard,morisita,unrarefied,morisita - standard
libA,libD,0.00119423425599996,dada2,standard,morisita,unrarefied,morisita - standard
libB,libC,0.00255773959739158,dada2,standard,morisita,unrarefied,morisita - standard
libB,libD,0.00317351873643068,dada2,standard,morisita,unrarefied,morisita - standard
libC,libD,0.00164818742499973,dada2,standard,morisita,unrarefied,morisita - standard
libA,libB,0.00146626826180118,dada2,extra,morisita,unrarefied,morisita - extra
libA,libC,0.00131054286694721,dada2,extra,morisita,unrarefied,morisita - extra
libA,libD,0.00119581014526859,dada2,extra,morisita,unrarefied,morisita - extra
libB,libC,0.00256223660346422,dada2,extra,morisita,unrarefied,morisita - extra
libB,libD,0.00317709913045794,dada2,extra,morisita,unrarefied,morisita - extra
libC,libD,0.00165038295871145,dada2,extra,morisita,unrarefied,morisita - extra
libA,libB,0.00156147536592455,deblur,basic,morisita,unrarefied,morisita - basic
libA,libC,0.000778633026051523,deblur,basic,morisita,unrarefied,morisita - basic
libA,libD,0.00238149883854133,deblur,basic,morisita,unrarefied,morisita - basic
libB,libC,0.00131110170719018,deblur,basic,morisita,unrarefied,morisita - basic
libB,libD,0.00290693929229213,deblur,basic,morisita,unrarefied,morisita - basic
libC,libD,0.00154170074634352,deblur,basic,morisita,unrarefied,morisita - basic
libA,libB,0.00156147536592455,deblur,standard,morisita,unrarefied,morisita - standard
libA,libC,0.000778633026051523,deblur,standard,morisita,unrarefied,morisita - standard
libA,libD,0.00238090855919415,deblur,standard,morisita,unrarefied,morisita - standard
libB,libC,0.00131110170719018,deblur,standard,morisita,unrarefied,morisita - standard
libB,libD,0.00290672874501685,deblur,standard,morisita,unrarefied,morisita - standard
libC,libD,0.00154156452364551,deblur,standard,morisita,unrarefied,morisita - standard
