Comparison,Z,P.unadj,P.adj
dada2-basic - vsearch-basic,2.95803989154981,0.00309602054995901,0.00619204109991803
dada2-extra - vsearch-basic,2.95803989154981,0.00309602054995901,0.00655627881167791
dada2-standard - vsearch-basic,2.95803989154981,0.00309602054995901,0.00696604623740778
deblur-basic - vsearch-basic,2.95803989154981,0.00309602054995901,0.00743044931990163
deblur-extra - vsearch-basic,2.95803989154981,0.00309602054995901,0.00796119569989461
deblur-standard - vsearch-basic,2.95803989154981,0.00309602054995901,0.00857359536911727
dada2-basic - vsearch-extra,2.95803989154981,0.00309602054995901,0.00928806164987704
dada2-extra - vsearch-extra,2.95803989154981,0.00309602054995901,0.010132430890775
dada2-standard - vsearch-extra,2.95803989154981,0.00309602054995901,0.0111456739798524
deblur-basic - vsearch-extra,2.95803989154981,0.00309602054995901,0.0123840821998361
deblur-extra - vsearch-extra,2.95803989154981,0.00309602054995901,0.0139320924748156
deblur-standard - vsearch-extra,2.95803989154981,0.00309602054995901,0.0159223913997892
dada2-basic - vsearch-standard,2.95803989154981,0.00309602054995901,0.0185761232997541
dada2-extra - vsearch-standard,2.95803989154981,0.00309602054995901,0.0222913479597049
dada2-standard - vsearch-standard,2.95803989154981,0.00309602054995901,0.0278641849496311
deblur-basic - vsearch-standard,2.95803989154981,0.00309602054995901,0.0371522465995082
deblur-extra - vsearch-standard,2.95803989154981,0.00309602054995901,0.0557283698992622
deblur-standard - vsearch-standard,2.95803989154981,0.00309602054995901,0.111456739798524
dada2-basic - dada2-extra,0,1,1
dada2-basic - dada2-standard,0,1,1
dada2-extra - dada2-standard,0,1,1
dada2-basic - deblur-basic,0,1,1
dada2-extra - deblur-basic,0,1,1
dada2-standard - deblur-basic,0,1,1
dada2-basic - deblur-extra,0,1,1
dada2-extra - deblur-extra,0,1,1
dada2-standard - deblur-extra,0,1,1
deblur-basic - deblur-extra,0,1,1
dada2-basic - deblur-standard,0,1,1
dada2-extra - deblur-standard,0,1,1
dada2-standard - deblur-standard,0,1,1
deblur-basic - deblur-standard,0,1,1
deblur-extra - deblur-standard,0,1,1
vsearch-basic - vsearch-extra,0,1,1
vsearch-basic - vsearch-standard,0,1,1
vsearch-extra - vsearch-standard,0,1,1
